"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"C1S670","2022-09-14 00:00:00","1580.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0C630","2022-09-14 00:00:00","209.000","-998.000","-998.000","-998.000","-998.000","0.500","32.000","32.000"
"81M700","2022-09-14 00:00:00","1044.000","-998.000","-998.000","-998.000","-998.000","3.000","8.000","8.000"
"L1A840","2022-09-14 00:00:00","403.000","1.500","0.000","15.000","32.500","48.500","102.000","102.000"
"A2N290","2022-09-14 00:00:00","23.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81M660","2022-09-14 00:00:00","1186.000","-998.000","-998.000","-998.000","-998.000","0.000","4.000","4.000"
"C1Z130","2022-09-14 00:00:00","187.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0AD30","2022-09-14 00:00:00","20.000","4.500","1.000","11.500","13.000","14.500","31.000","31.000"
"C0D430","2022-09-14 00:00:00","87.000","-998.000","-998.000","-998.000","-998.000","0.000","18.500","18.500"
"C0R680","2022-09-14 00:00:00","4.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0X210","2022-09-14 00:00:00","38.000","-998.000","-998.000","-998.000","-998.000","0.000","1.500","1.500"
"01A440","2022-09-14 00:00:00","916.000","1.000","0.000","1.000","3.000","17.000","66.000","66.000"
"CAQ030","2022-09-14 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAC040","2022-09-14 00:00:00","1684.000","0.000","0.000","0.000","1.000","12.000","12.000","12.000"
"O1M640","2022-09-14 00:00:00","1052.000","-998.000","-998.000","-998.000","-998.000","2.000","10.000","10.000"
"O1M650","2022-09-14 00:00:00","850.000","-998.000","-998.000","-998.000","-998.000","1.000","5.000","5.000"
"88V560","2022-09-14 00:00:00","403.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C0O960","2022-09-14 00:00:00","112.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1E511","2022-09-14 00:00:00","326.000","-998.000","-998.000","-998.000","-998.000","2.500","58.000","58.000"
"C0H950","2022-09-14 00:00:00","192.000","-998.000","-998.000","-998.000","-998.000","0.500","8.000","8.000"
"V2C250","2022-09-14 00:00:00","150.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1M400","2022-09-14 00:00:00","369.000","-998.000","-998.000","-998.000","-998.000","1.000","1.000","1.000"
"01D110","2022-09-14 00:00:00","560.000","-998.000","-998.000","-998.000","-998.000","4.000","63.000","63.000"
