district,total_shelters,high_risk_shelters,medium_risk_shelters,low_risk_shelters,safe_shelters,total_capacity,high_risk_capacity,medium_risk_capacity,low_risk_capacity,safe_capacity,risk_capacity,high_risk_shelter_ratio,medium_risk_shelter_ratio,low_risk_shelter_ratio,safe_shelter_ratio,estimated_risk_population,required_safe_capacity,capacity_gap,capacity_sufficiency
七堵區,22,19,3,0,0,1645,1391,254,0,0,1645,0.8636363636363636,0.13636363636363635,0.0,0.0,3290,987.0,987.0,Insufficient
七美鄉,10,0,0,0,10,1639,0,0,0,1639,0,0.0,0.0,0.0,1.0,0,0.0,-1639.0,Sufficient
七股區,28,9,8,5,6,4577,1118,964,843,1652,2925,0.32142857142857145,0.2857142857142857,0.17857142857142858,0.21428571428571427,5850,1755.0,103.0,Insufficient
三地門鄉,15,7,4,2,2,1070,630,250,120,70,1000,0.4666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,2000,600.0,530.0,Insufficient
三峽區,19,15,4,0,0,11805,8340,3465,0,0,11805,0.7894736842105263,0.21052631578947367,0.0,0.0,23610,7083.0,7083.0,Insufficient
三星鄉,14,7,6,1,0,1802,1051,698,53,0,1802,0.5,0.42857142857142855,0.07142857142857142,0.0,3604,1081.2,1081.2,Insufficient
三民區,38,24,7,7,0,34717,20328,4909,9480,0,34717,0.631578947368421,0.18421052631578946,0.18421052631578946,0.0,69434,20830.2,20830.2,Insufficient
三灣鄉,8,8,0,0,0,760,760,0,0,0,760,1.0,0.0,0.0,0.0,1520,456.0,456.0,Insufficient
三芝區,9,7,1,1,0,3147,2420,319,408,0,3147,0.7777777777777779,0.1111111111111111,0.1111111111111111,0.0,6294,1888.1999999999998,1888.1999999999998,Insufficient
三重區,36,8,14,14,0,30018,8821,6112,15085,0,30018,0.2222222222222222,0.38888888888888895,0.38888888888888895,0.0,60036,18010.8,18010.8,Insufficient
下營區,12,0,0,5,7,2410,0,0,1080,1330,1080,0.0,0.0,0.41666666666666674,0.5833333333333334,2160,648.0,-682.0,Sufficient
中區,5,4,1,0,0,3878,2378,1500,0,0,3878,0.8,0.2,0.0,0.0,7756,2326.7999999999997,2326.7999999999997,Insufficient
中和區,22,1,9,12,0,27485,92,11211,16182,0,27485,0.045454545454545456,0.4090909090909091,0.5454545454545454,0.0,54970,16491.0,16491.0,Insufficient
中埔鄉,42,31,11,0,0,9770,8070,1700,0,0,9770,0.7380952380952381,0.2619047619047619,0.0,0.0,19540,5862.0,5862.0,Insufficient
中壢區,94,52,20,22,0,58972,35254,9190,14528,0,58972,0.5531914893617021,0.2127659574468085,0.23404255319148937,0.0,117944,35383.2,35383.2,Insufficient
中寮鄉,21,21,0,0,0,1380,1380,0,0,0,1380,1.0,0.0,0.0,0.0,2760,828.0,828.0,Insufficient
中山區,54,34,7,10,3,7247,2520,2852,1504,371,6876,0.6296296296296297,0.12962962962962962,0.1851851851851852,0.05555555555555555,13752,4125.599999999999,3754.5999999999995,Insufficient
中正區,42,23,8,8,3,12521,2627,767,9037,90,12431,0.5476190476190477,0.19047619047619047,0.19047619047619047,0.07142857142857142,24862,7458.599999999999,7368.599999999999,Insufficient
中西區,21,9,5,7,0,8062,2522,1140,4400,0,8062,0.42857142857142855,0.23809523809523805,0.33333333333333326,0.0,16124,4837.2,4837.2,Insufficient
九如鄉,3,1,1,1,0,329,129,100,100,0,329,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.0,658,197.4,197.4,Insufficient
二崙鄉,7,0,1,1,5,4400,0,500,200,3700,700,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,1400,420.0,-3280.0,Sufficient
二林鎮,25,13,2,0,10,3626,2267,350,0,1009,2617,0.52,0.08,0.0,0.4,5234,1570.2,561.2,Insufficient
二水鄉,18,7,11,0,0,1538,545,993,0,0,1538,0.38888888888888895,0.6111111111111112,0.0,0.0,3076,922.8,922.8,Insufficient
五峰鄉,4,2,2,0,0,310,150,160,0,0,310,0.5,0.5,0.0,0.0,620,186.0,186.0,Insufficient
五結鄉,16,4,3,5,4,2587,439,361,1303,484,2103,0.25,0.1875,0.3125,0.25,4206,1261.8,777.8,Insufficient
五股區,13,10,1,2,0,5586,4967,146,473,0,5586,0.7692307692307694,0.07692307692307693,0.15384615384615385,0.0,11172,3351.6,3351.6,Insufficient
仁德區,5,1,1,3,0,7830,570,480,6780,0,7830,0.2,0.2,0.6,0.0,15660,4698.0,4698.0,Insufficient
仁愛區,25,25,0,0,0,1355,1355,0,0,0,1355,1.0,0.0,0.0,0.0,2710,813.0,813.0,Insufficient
仁愛鄉,29,7,5,2,15,3860,1130,800,140,1790,2070,0.24137931034482757,0.1724137931034483,0.06896551724137931,0.5172413793103449,4140,1242.0,-548.0,Sufficient
仁武區,12,6,3,3,0,7989,4128,1079,2782,0,7989,0.5,0.25,0.25,0.0,15978,4793.4,4793.4,Insufficient
伸港鄉,18,0,0,3,15,2520,0,0,140,2380,140,0.0,0.0,0.16666666666666663,0.8333333333333335,280,84.0,-2296.0,Sufficient
佳冬鄉,3,0,0,0,3,739,0,0,0,739,0,0.0,0.0,0.0,1.0,0,0.0,-739.0,Sufficient
佳里區,17,3,3,9,2,24800,4700,3960,13000,3140,21660,0.17647058823529413,0.17647058823529413,0.5294117647058824,0.1176470588235294,43320,12996.0,9856.0,Insufficient
來義鄉,6,3,3,0,0,700,400,300,0,0,700,0.5,0.5,0.0,0.0,1400,420.0,420.0,Insufficient
信義區,38,15,8,10,5,10958,1769,713,3583,4893,6065,0.39473684210526316,0.21052631578947367,0.2631578947368421,0.13157894736842105,12130,3639.0,-1254.0,Sufficient
信義鄉,40,23,12,0,5,5395,3240,1775,0,380,5015,0.575,0.3,0.0,0.125,10030,3009.0,2629.0,Insufficient
元長鄉,11,0,1,2,8,2800,0,200,400,2200,600,0.0,0.09090909090909091,0.18181818181818182,0.7272727272727273,1200,360.0,-1840.0,Sufficient
光復鄉,14,9,5,0,0,1730,1050,680,0,0,1730,0.6428571428571429,0.35714285714285715,0.0,0.0,3460,1038.0,1038.0,Insufficient
內埔鄉,21,5,5,4,7,3333,863,1180,480,810,2523,0.23809523809523805,0.23809523809523805,0.19047619047619047,0.33333333333333326,5046,1513.8,703.8,Insufficient
內湖區,26,10,12,4,0,8947,6338,2263,346,0,8947,0.3846153846153847,0.4615384615384615,0.15384615384615385,0.0,17894,5368.2,5368.2,Insufficient
內門區,13,13,0,0,0,1570,1570,0,0,0,1570,1.0,0.0,0.0,0.0,3140,942.0,942.0,Insufficient
八德區,73,13,23,36,1,7017,1193,1861,3888,75,6942,0.1780821917808219,0.3150684931506849,0.4931506849315068,0.0136986301369863,13884,4165.2,4090.2,Insufficient
八里區,12,9,2,1,0,7105,4575,170,2360,0,7105,0.75,0.16666666666666663,0.08333333333333331,0.0,14210,4263.0,4263.0,Insufficient
公館鄉,2,1,1,0,0,600,300,300,0,0,600,0.5,0.5,0.0,0.0,1200,360.0,360.0,Insufficient
六甲區,17,2,6,9,0,3280,450,730,2100,0,3280,0.1176470588235294,0.35294117647058826,0.5294117647058824,0.0,6560,1968.0,1968.0,Insufficient
六腳鄉,14,3,9,2,0,7640,790,3760,3090,0,7640,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.0,15280,4584.0,4584.0,Insufficient
六龜區,21,14,5,0,2,5314,4310,604,0,400,4914,0.6666666666666665,0.23809523809523805,0.0,0.09523809523809523,9828,2948.4,2548.4,Insufficient
冬山鄉,23,9,8,4,2,1940,740,720,331,149,1791,0.391304347826087,0.34782608695652173,0.17391304347826086,0.08695652173913043,3582,1074.6,925.5999999999999,Insufficient
前金區,5,4,1,0,0,4468,4443,25,0,0,4468,0.8,0.2,0.0,0.0,8936,2680.7999999999997,2680.7999999999997,Insufficient
前鎮區,21,10,7,4,0,18542,9825,4800,3917,0,18542,0.4761904761904761,0.33333333333333326,0.19047619047619047,0.0,37084,11125.199999999999,11125.199999999999,Insufficient
北區,44,17,15,12,0,44666,16005,15755,12906,0,44666,0.38636363636363635,0.3409090909090909,0.2727272727272727,0.0,89332,26799.6,26799.6,Insufficient
北埔鄉,9,7,2,0,0,2875,2760,115,0,0,2875,0.7777777777777779,0.2222222222222222,0.0,0.0,5750,1725.0,1725.0,Insufficient
北屯區,32,17,12,3,0,29703,16026,12244,1433,0,29703,0.53125,0.375,0.09375,0.0,59406,17821.8,17821.8,Insufficient
北投區,28,19,5,2,2,6897,6335,472,40,50,6847,0.6785714285714286,0.17857142857142858,0.07142857142857142,0.07142857142857142,13694,4108.2,4058.2,Insufficient
北斗鎮,10,0,9,1,0,3200,0,2760,440,0,3200,0.0,0.9,0.1,0.0,6400,1920.0,1920.0,Insufficient
北港鎮,17,8,3,3,3,6500,5000,800,400,300,6200,0.4705882352941176,0.17647058823529413,0.17647058823529413,0.17647058823529413,12400,3720.0,3420.0,Insufficient
北門區,5,1,2,2,0,1330,600,250,480,0,1330,0.2,0.4,0.4,0.0,2660,798.0,798.0,Insufficient
卑南鄉,19,16,1,2,0,970,830,30,110,0,970,0.8421052631578947,0.05263157894736842,0.10526315789473684,0.0,1940,582.0,582.0,Insufficient
卓溪鄉,13,10,0,3,0,792,600,0,192,0,792,0.7692307692307694,0.0,0.23076923076923075,0.0,1584,475.2,475.2,Insufficient
卓蘭鎮,11,8,3,0,0,1850,1450,400,0,0,1850,0.7272727272727273,0.2727272727272727,0.0,0.0,3700,1110.0,1110.0,Insufficient
南化區,9,7,1,1,0,850,660,110,80,0,850,0.7777777777777779,0.1111111111111111,0.1111111111111111,0.0,1700,510.0,510.0,Insufficient
南區,30,6,9,13,2,59753,7307,12037,28202,12207,47546,0.2,0.3,0.43333333333333335,0.06666666666666667,95092,28527.6,16320.599999999999,Insufficient
南屯區,11,9,2,0,0,4370,4070,300,0,0,4370,0.8181818181818182,0.18181818181818182,0.0,0.0,8740,2622.0,2622.0,Insufficient
南州鄉,2,2,0,0,0,145,145,0,0,0,145,1.0,0.0,0.0,0.0,290,87.0,87.0,Insufficient
南庄鄉,12,9,2,1,0,1030,900,80,50,0,1030,0.75,0.16666666666666663,0.08333333333333331,0.0,2060,618.0,618.0,Insufficient
南投市,37,28,2,7,0,6500,5150,350,1000,0,6500,0.7567567567567568,0.05405405405405405,0.1891891891891892,0.0,13000,3900.0,3900.0,Insufficient
南港區,16,13,3,0,0,18261,17596,665,0,0,18261,0.8125,0.1875,0.0,0.0,36522,10956.6,10956.6,Insufficient
南澳鄉,13,9,4,0,0,624,478,146,0,0,624,0.6923076923076923,0.3076923076923077,0.0,0.0,1248,374.4,374.4,Insufficient
口湖鄉,25,1,5,7,12,4040,400,1050,650,1940,2100,0.04,0.2,0.28,0.48,4200,1260.0,-680.0,Sufficient
