shelter_name,shelter_address,capacity,risk_level,buffer_distance,longitude,latitude
五峰活動中心,,110,Safe,0,257404.817068999,2697774.5500193727
南坑村集會所暨南外社區活動中心,9鄰大南坑1-5號,20,High,500,255677.65224042838,2729505.0273858365
烏坵鄉小坵村活動中心,無門牌號碼,20,Safe,0,95524.9230264625,2764433.4731077407
金門縣烏坵鄉公所大廳,1號,30,Safe,0,93837.28163420851,2765420.9130113167
霞雲社區活動中心,6鄰22-1號,36,Low,2000,291067.39639505884,2745239.2180717834
澤仁里辦公處,14鄰中正路168之1號,40,High,500,285581.12778388226,2745953.1244394667
奎輝里活動中心,3鄰羅馬路3段355號,50,High,500,283799.7867562293,2743339.784173266
高義教會,6鄰48號,61,Low,2000,285864.1797536997,2733273.006491552
東莒老人活動中心,57-1號,0,Safe,0,147569.526487154,2872146.683791422
福正風景管理處,1號,0,Safe,0,148389.73350260773,2872714.4334098464
莒光指揮部國軍文康中心,莒光指揮部國軍文康中心,0,Safe,0,143073.99383602175,2874577.3225479866
田沃老人活動中心,52號,0,Safe,0,144350.2234166243,2873919.697652639
青帆老人活動中心,1號,150,Safe,0,143225.42886700475,2873658.1438496024
敬恆國中小禮堂,18號,200,Safe,0,143248.40471074404,2873749.2522834926
東莒國小綜合教室,4號,200,Safe,0,147560.61989617505,2872237.382875466
石牌社區活動中心,東興路二段568號,50,Safe,0,255135.2252628993,2876547.8967834385
上大社區活動中心,8鄰大湖路一段510號,0,Medium,1000,264874.42183170986,2763374.8013829496
武威社區活動中心,4鄰武威一路10號,0,High,500,257398.92637130877,2768907.7073457106
塔腳社區活動中心,4鄰塔腳路116號,0,High,500,265610.00027445785,2771246.840429856
廣福社區活動中心,福山路二段403巷6號,0,High,500,265480.10721879674,2767892.797494156
草漯國民小學,新生路1462號,100,High,500,264422.9020577828,2770873.7039513895
上大國民小學,8鄰大湖路一段540號,100,High,500,264815.9608934036,2763473.8698890503
崙坪國民小學,崙坪里297之1號,100,Medium,1000,266420.58264584944,2765742.6673660167
富林國民小學,大觀路三段466號,100,High,500,262964.2593691941,2772672.5813974584
樹林國民小學,觀音鄉樹林村新村路二段十二號,100,High,500,262961.0329108486,2772670.4738353062
觀音區公所綠資源中心,觀新路56號,0,High,500,258436.35016597094,2768912.6280745813
高雄市前鎮區光華國民小學,廣西路57號,300,Low,2000,180094.35658676972,2501811.4981231242
大武國小,民族街2巷49號,350,High,500,240267.55742194864,2473974.558936905
尖山國小操場,尖豐路305號,200,Medium,1000,239274.8362033007,2726668.1990249073
高雄市小港區鳳林國民小學,鳳林路207號,300,Low,2000,182415.9970469285,2492056.459382722
大武社區活動中心,2鄰小山巷7號,30,High,500,224817.4143569943,2517455.4087935435
和平國小,和平112號,250,Medium,1000,326011.1106517919,2689346.507640283
佳義社區活動中心,泰平巷11號,0,High,500,212063.96371071367,2505959.2972437395
中東社區活動中心,山腳路五段185巷20號,30,High,500,209262.50343276086,2651915.131982898
崇實高工體育館,育英路103號,80,Safe,0,206731.0808117884,2650775.506169512
東芳國小,彰馬路45號,145,Low,2000,200815.5826774982,2662033.701629367
三義社區活動中心,員鹿路245巷112號,200,Safe,0,205576.43318130882,2649851.2815413116
大同國中,大同路一段345號,200,Low,2000,207205.44901205474,2651012.860593698
員林農工體育館,員水路二段313號,200,Low,2000,207425.69509699158,2650123.330120588
員林市員東國小,員東路二段12號,200,Low,2000,207999.55328452258,2650862.7756562047
員林市員林國中活動中心,南潭路2號,200,Safe,0,204929.57121800433,2652788.6140474332
員林市員林國小,三民東街221號,300,Safe,0,207174.68962353808,2650663.648106506
健康公園,忠明南路與五權南路交叉口,7500,Medium,1000,216207.55706326745,2668326.03686577
屏東市信義國小,信義路262號,965,Medium,1000,197800.22742925346,2509517.6626307317
光隆營區,光興路1001號,80,Medium,1000,222604.18321984034,2667364.617167171
大快官藝文館,彰南路五段8號,45,High,500,210662.88380289805,2662680.2196907816
彰德國中勤學樓、育英樓穿堂,彰南路二段512巷97號,45,High,500,208244.80166380812,2664003.8022938045
介壽社區活動中心,介壽新村21號,45,High,500,204416.6875241444,2662944.874558621
國聖國小,中山路三段608號,54,Medium,1000,206087.80027901428,2665311.825577241
石牌國小,田坑路一段9號,63,High,500,210841.13233143964,2661561.924422842
茄苳社區活動中心,茄苳路二段292號,64,Medium,1000,204043.73789479223,2666590.5812981525
三民國小,田中路125號,77,Medium,1000,209792.46703812323,2664575.597506058
南北管戲曲音樂館,平和七街66號,77,Low,2000,202191.17235365347,2662656.7745760884
牛埔社區活動中心,彰南路三段226號,78,High,500,209077.72119776654,2664093.092618199
桃源社區活動中心,公園路二段102之1號,90,High,500,205161.62464644396,2663127.9147490994
南興社區活動中心,中山路一段189巷49號,93,High,500,202526.3456516824,2661370.71516683
快官社區活動中心,彰南路四段566號之1,115,High,500,210546.27803298994,2662655.1793423854
福山社區活動中心,福山街168號,177,Medium,1000,206420.56818385437,2664244.9328060825
延和社區活動中心,埔西街111號,184,Medium,1000,203042.23233066793,2661668.2618864505
泰和國小,泰和路二段145巷1號,203,Low,2000,204419.55425479944,2665339.650068745
彰興國中,埔西街107號,242,Medium,1000,203042.11898933386,2661664.7182072084
信義國中小,向陽街168號,399,Low,2000,202015.14105015263,2662050.1122903223
雅溝社區活動中心,南軒路359巷7號,150,Low,2000,198407.68009311816,2666158.758644125
介達國小 Jieda Elementary School,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",100,Safe,0,170804.1398875966,2345313.6204128875
湖口鄉信勢國小禮堂,成功路360號,385,Safe,0,253884.97928273748,2422507.864083401
港口社區活動中心,港口路42號,50,High,500,232146.638931457,2432592.8564935243
恆春國中收容所,文化路79號,1400,High,500,223929.42020115728,2433921.849858925
恆春鎮公所,天文路1號,220,High,500,223919.2231906489,2433999.3709281078
永靖社區活動中心,庄內路33巷8-1號,30,High,500,230300.24407323697,2434145.127933957
永港國民小學,新庄路25號,100,High,500,231144.57003348984,2434197.1317990324
恒春國小收容所,北門路39巷26號,200,High,500,223837.1003927872,2434287.379721246
僑勇國小收容所,西門路146號,430,Medium,1000,223589.73140790648,2434542.448550973
滿州國民小學,中山路39號,100,High,500,233286.00676484389,2435822.6330100037
屏東縣滿州鄉公所,中山路43號,30,High,500,233337.58278315124,2435879.931370713
舊蘭嶼國小,臺東縣蘭嶼鄉紅頭村1-1號,100,Safe,0,307255.6333366662,2435997.1782543147
滿州社區活動中心,中山路107號,30,High,500,233183.0105905523,2436145.8232635465
屏東縣滿州鄉圖書館,中山路152號,100,High,500,233245.06934979477,2436256.477190311
滿州國民中學,文化路32號,100,High,500,233451.0453331594,2436278.2930095457
蘭恩活動中心,臺東縣蘭嶼鄉紅頭村漁人147號,500,Low,2000,305643.1762446632,2436533.958079843
蘭嶼國民小學,1號 之1,100,Medium,1000,304361.4439992876,2436994.530045173
響林活動中心,福德路64巷3號,50,High,500,232813.1015812788,2437740.591147336
椰油國民小學,1號,100,High,500,303426.67919604277,2438663.271264228
蘭嶼完全高級中學,臺東縣蘭嶼鄉椰油村34號,500,High,500,302909.0445321581,2439115.494147783
屏東縣立車城國小保力分校,保力路30號,63,High,500,221874.8813460471,2439793.5812443793
屏東縣立車城國小射寮分校,埔墘路38號,63,High,500,220254.5775388373,2439862.991234266
屏東縣立車城國中,新興路42號,350,High,500,220743.00634601247,2441655.7634918857
高士國小牡林分校,四林路80號,304,Medium,1000,230794.67470574263,2441662.428158211
長樂村長壽俱樂部,和平路21號,50,High,500,232022.88423908767,2441782.7697351663
屏東縣立車城國小,中山路66號,250,High,500,220547.34109016144,2441877.571687591
長樂國小,大公路35號,120,High,500,232312.00147752956,2441926.3789699394
車城福安宮香客大樓,福安路5之1號,100,Medium,1000,220269.06098884685,2442066.3218687065
朗島國小,臺東縣蘭嶼鄉朗島村17號,100,Safe,0,304549.1147862928,2442420.687134096
屏東縣立車城國小溫泉分校,文化路23號,63,High,500,224070.25695120374,2444207.5931720543
九棚永久屋大愛基地活動中心,九棚路大愛巷6號,100,High,500,236977.7209873425,2445861.1580682495
高士國小,高士路29號,350,High,500,234216.31722541456,2447382.8960683057
石門村活動中心,石門路18號,100,High,500,226685.61554925283,2447458.709754541
港仔活動中心,港仔路67號,50,High,500,237776.12899000008,2448331.921792226
竹坑活動中心,竹坑一巷1鄰8號,40,High,500,219179.80356828615,2449686.106406211
牡丹國小,牡丹路93號,350,High,500,233263.04073574298,2453119.267044173
楓港國民小學,光復24號,90,Medium,1000,218261.53288909633,2454648.3323080665
旭海村活動中心,旭海路93-1號,250,High,500,237482.1386148242,2454787.2257902357
楓港老人文康中心,村舊庄1-2號,80,High,500,217983.7579178995,2454958.923971563
楓林國小,楓林二巷22之2號,50,High,500,219460.25719174193,2455974.626175714
丹路國小,丹路一巷39號,50,High,500,224378.61450118496,2456098.6593845556
獅子鄉立綜合體育館,舊庄280號,100,High,500,219213.43563609428,2456296.2083527213
東源村活動中心,東源路6號,250,Low,2000,234637.69717436313,2456284.511378861
內文活動中心,3鄰26號,40,Medium,1000,234608.19511395818,2457735.0044397977
獅子活動中心,3鄰35號,0,High,500,217064.91743079826,2459312.27756909
草埔活動中心,6鄰64號,40,High,500,229527.98455341274,2459490.2586197634
枋山鄉公所,枋山路82號,50,Medium,1000,214178.73120310626,2462825.059787383
枋寮高中正成分校,國中路1號,150,High,500,215021.4917763116,2462859.9072795208
南田基督教會,臺東縣達仁鄉南田村3鄰20號,50,High,500,238690.83909616584,2464195.73123429
森永活動中心,臺東縣達仁鄉森永村3鄰31號,100,High,500,236070.6568409843,2464636.207605488
南田活動中心,臺東縣達仁鄉南田村10之2號,100,High,500,238559.32214673082,2465284.45805656
安朔基督教會,臺東縣達仁鄉安朔村2鄰20號,50,High,500,236194.49672611267,2466004.0848587444
安朔集會所,6鄰安朔路114號,50,High,500,236373.52330895184,2466059.399537831
安朔國小,臺東縣達仁鄉安朔村8鄰113號,200,High,500,236427.48906312772,2466147.3775459677
達仁鄉公所禮堂,9鄰復興路14號,100,High,500,237951.23566784745,2466446.5158836246
大南國民小學,東興村東園一街40號,50,Safe,0,251688.17985190978,2466956.694917577
內獅國小,內獅村1號,0,High,500,213187.41333383718,2467392.793252568
南興村社區活動中心,達興路173號,200,High,500,238327.19220716594,2467929.371088986
南福社區活動中心,忠孝路1-10號,50,Safe,0,184421.33577463147,2470056.425754907
加祿國民小學,會社28號,60,High,500,210968.89627802803,2470166.3510085903
大福社區活動中心,和平路3巷14-1號,100,Safe,0,185186.1559058385,2470651.1602109307
琉球國中,中正路158號,200,Safe,0,184950.24659135772,2470895.7536104964
琉球國小,中正路293號,200,Safe,0,184930.1547115574,2471017.641370047
尚武村社區活動中心,政通3街1號,100,High,500,237825.1079581916,2471428.6302039656
大武鄉立托兒所,政通5街6-1號,100,High,500,237701.54872253118,2471484.089636019
全德國小,復興路97號,200,Safe,0,185027.0813038845,2472024.883805764
琉球鄉公所,行政路12號,150,Safe,0,186522.4012303718,2472450.544818683
老人文康活動中心,海邊路6號,150,Medium,1000,208772.06885807432,2473050.917091034
大武老人會館,大武街110號,150,High,500,240092.18196489723,2473021.4448807407
大武鄉多功能綜合活動中心暨避難收容所,大武街21巷1號,300,High,500,240360.07797046495,2473209.5072444645
古華社區活動中心,古華路6鄰2巷46號,100,Medium,1000,211698.01828258784,2473419.887155798
大武村社區活動中心,大武街56號,100,High,500,239443.5738106526,2473376.190232187
古華國民小學,3巷63號,200,Low,2000,211482.12203869526,2473575.438816528
僑德國小,僑德路186號,320,High,500,208804.99610286666,2473814.8445119313
枋寮國小,德興路197號,189,High,500,207858.91390628723,2474337.8033143426
士文聚會所,64-2號,50,Low,2000,215387.29176342033,2474396.677950653
古華國民小學-士文分校,65號,60,Low,2000,215346.19707275036,2474441.0601965287
春日社區活動中心,春日路13號,50,High,500,211309.60837305643,2474605.6251823027
春日國民小學,春日路314號,200,High,500,211587.66298239585,2474604.933749188
枋寮高中,義民路3號,1136,High,500,207859.9070861708,2474703.1998989703
臺東縣立安朔國小新化分校,57號,200,Medium,1000,235251.42652233664,2475810.124983688
建興國小,建興路39號,162,Medium,1000,209007.6741940873,2476460.6822942505
屏東市復興公園,建興南路35號,1067,Safe,0,176450.85382390016,2477256.524962514
國立屏東高級工業職業學校,建國路25號,2523,Safe,0,177018.07887547585,2477442.087462256
東海國小,東海路486號,524,Safe,0,206479.03267420636,2478050.984733362
屏東市千禧公園,自由、大連、廣東、勝利東路廓內,1734,Safe,0,177434.93875130697,2478503.165521348
東海國小太源分校,太源路2-10號,90,Safe,0,208097.58471334766,2478810.5385120194
國立佳冬高農,佳農街17號,239,Safe,0,204535.57650133828,2478909.1765605286
屏東市廣興公園,監理站對面,755,Safe,0,177058.46816511438,2479457.241309092
加津林活動中心,加津林50號,200,High,500,242000.9522914972,2479641.671426714
佳冬鄉立幼兒園,文化一路240號,200,Safe,0,205415.1647458986,2480456.8095995802
力里國民小學,自強1路92號,200,High,500,211809.31151435975,2480960.113313577
春日鄉立老人文康中心,9鄰自強1路18號,120,High,500,211696.1588388565,2480993.611472046
佳冬國中,大同路1號,300,Safe,0,205406.62684233824,2481065.8391486234
屏東縣林邊鄉崎峰活動中心,成功路600號,200,Medium,1000,197521.81568320235,2481234.543802205
來義鄉文物館,19鄰289號,100,High,500,212727.43434432603,2481766.181621042
南和國小,51號,200,High,500,213211.59982842195,2481920.0396504374
屏東縣林邊鄉仁和國民小學,中山路417號,200,Low,2000,199706.89479862922,2482068.8213524027
土?天主堂,1鄰22號,50,High,500,238361.17688994147,2483812.569217905
臺東縣立土?國小,2鄰10 號,200,High,500,238438.367454816,2483813.0648492347
達仁鄉立土?托兒所,1鄰106號,160,High,500,238265.3435444661,2483928.792914229
大潭國小,大潭路93號,150,High,500,198105.3425766364,2484222.1605078815
愛國蒲分校,愛國蒲6鄰92號,100,High,500,242044.48615010586,2484214.601464885
以栗國小,船頭路25號,300,High,500,194724.45041765977,2484854.0970951878
東隆宮香客大樓,東隆街21-1號,300,High,500,193273.6048704373,2484936.873327414
太麻里鄉多良村辦公處,18鄰大溪251號,80,High,500,243969.28408509327,2484833.7924001543
東隆國小,共和街45號,500,High,500,193390.73723418184,2484968.112165131
望嘉警察派出所,114-1號,100,High,500,211078.15527069801,2484937.0607534386
屏東縣林邊鄉竹林國民小學,中興122號,100,Medium,1000,201949.81393120834,2485029.2216204186
東港高中,船頭路1號,450,High,500,193963.9903796234,2485166.8851144807
東光國小,長春二路15號,150,High,500,194387.61805996223,2485630.420639972
東港國小,中正路一段10號,300,High,500,193883.8735353125,2485776.1946051307
新埤鄉立幼兒園,民眾路103號,250,Medium,1000,209970.06904280328,2486246.48754592
臺東縣台?國民小學,10鄰59-1號,200,Low,2000,240502.09124582342,2486435.523821544
台?活動中心,10鄰56號,100,Low,2000,240543.28625614982,2486490.861427365
東興國小,興東路43-1號,461,High,500,195018.93260773856,2486624.732154656
北市大附小,公園路29號,157,Low,2000,241047.6134710144,2486673.258044836
台?基督教會,8鄰24號,50,Low,2000,241100.4104651148,2486688.396924416
啦里吧活動中心,9鄰啦里吧49號,100,Low,2000,241109.4364600059,2486816.058639478
新埤國小,新華路165號,450,Low,2000,205270.15401142405,2487255.962769935
高雄市立中芸國民中學,中芸路3-100號,700,High,500,187778.85412592383,2487479.967725284
中芸國小,中芸路1號,500,High,500,187922.32917469175,2487615.0359412357
烏龍國小,南興路217號,100,High,500,194240.57802825727,2487657.3229994383
鹽洲國小,鹽洲路379號,50,High,500,192460.68307284918,2487730.303460098
溪北社區活動中心,仁里路93號,50,High,500,199696.63104610602,2488391.5142929778
溪北國小,仁里路102號,95,High,500,199697.06485651075,2488524.3888654737
文樂活動中心,新樂路1號,50,Medium,1000,211345.51980513183,2488955.8204978053
高雄市林園區港埔國民小學,校前路1號,690,High,500,186066.20377083903,2489526.8898249315
高雄市林園區王公國民小學,王公二路100號,1100,Medium,1000,187061.19986474674,2489567.195038229
高雄市林園區林園國民小學,忠孝西路20號,2000,Low,2000,187684.4930408909,2489794.983524921
林園區長青文康活動中心,林園北路191號,260,Low,2000,187705.62240663223,2490007.7255652943
港西國小,中和路101號,30,Medium,1000,193991.78686068705,2489983.5761355436
來義鄉新來義部落多功能活動中心,來新路21號,500,Low,2000,207047.52785256377,2489941.6206924906
潮南國小,興美路24號,1126,High,500,202128.36795301203,2490427.6165378545
南榮國中,田寮路1-15號,200,Low,2000,200454.48042954598,2490481.855600047
崁頂國小,中正路119號,200,Low,2000,199775.73410493563,2490561.56630165
高雄市小港區鳳鳴國民小學,鳳鳴路191號,200,Safe,0,183908.5377934702,2490730.255173474
崁頂老人文康中心,興農路29-12號,150,Safe,0,199272.0322648328,2490685.021356745
高雄市立林園高級中學,林園北路481號,2600,Low,2000,187828.6596021782,2490895.9662818015
丹林活動中心,丹林路25-1號,50,Medium,1000,212430.5675561884,2490890.8826928334
高雄市小港區鳳林國民中學,龍鳳路559號,50,Low,2000,182967.47147390453,2491483.7687230106
潮東國小,復興路66號,85,Low,2000,204831.04330206633,2491541.689579915
新園國小,媽祖路49號,100,Safe,0,193617.36736445088,2491690.2050308054
歷坵活動中心 Liqiu Activity Center,"1鄰12號No.12,Liqiu,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",100,High,500,242433.04055703917,2491841.6550723678
古樓國小,育英路2號,200,Medium,1000,211507.49385500955,2492011.5233725756
高雄市林園區金潭國民小學,金潭路40號,260,Medium,1000,187876.62462930306,2492150.2610472874
金崙溫泉長老教會,16鄰40號,20,High,500,243588.234752311,2492343.164042141
賓茂國小 Binmao Elementary School,"68號No.68,Binmao,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",100,High,500,245456.58602245123,2492506.9274759567
賓茂活動中心 Binmao Activity Center,"1鄰3-2號No.3-2,Binmao,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",100,High,500,246061.6256595672,2492527.6879420225
金崙活動中心,太麻里鄉6鄰金崙283號,80,High,500,246334.33320845076,2492614.762266126
光春國中,光春路290號,600,Low,2000,202659.51883559363,2492829.2562243696
