district,total_shelters,high_risk_shelters,medium_risk_shelters,low_risk_shelters,safe_shelters,total_capacity,high_risk_capacity,medium_risk_capacity,low_risk_capacity,safe_capacity,risk_capacity,high_risk_shelter_ratio,medium_risk_shelter_ratio,low_risk_shelter_ratio,safe_shelter_ratio,estimated_risk_population,required_safe_capacity,capacity_gap,capacity_sufficiency,capacity_gap_positive,risk_ratio_norm,capacity_gap_norm,risk_capacity_norm,risk_score,rank
東區,84,21,27,29,7,103469,33092,40315,25012,5050,98419,0.25,0.32142857142857145,0.34523809523809523,0.08333333333333331,196838,59051.399999999994,54001.399999999994,Insufficient,54001.399999999994,0.25,1.0,1.0,0.7,1
東勢區,24,18,6,0,0,51224,47800,3424,0,0,51224,0.75,0.25,0.0,0.0,102448,30734.399999999998,30734.399999999998,Insufficient,30734.399999999998,0.75,0.569140800053332,0.520468608703604,0.6268828226270808,2
中壢區,94,52,20,22,0,58972,35254,9190,14528,0,58972,0.5531914893617021,0.2127659574468085,0.23404255319148937,0.0,117944,35383.2,35383.2,Insufficient,35383.2,0.5531914893617021,0.6552274570659279,0.5991932452067182,0.5976028064264747,3
香山區,17,14,1,2,0,38780,29325,1625,7830,0,38780,0.8235294117647058,0.0588235294117647,0.1176470588235294,0.0,77560,23268.0,23268.0,Insufficient,23268.0,0.8235294117647058,0.43087771798508934,0.39402960810412624,0.576883962532647,4
新店區,34,26,7,1,0,39785,26112,13423,250,0,39785,0.7647058823529411,0.20588235294117646,0.02941176470588235,0.0,79570,23871.0,23871.0,Insufficient,23871.0,0.7647058823529411,0.4420440951530887,0.404241051016572,0.5597678967920747,5
金山區,14,13,1,0,0,28272,28199,73,0,0,28272,0.9285714285714286,0.07142857142857142,0.0,0.0,56544,16963.2,16963.2,Insufficient,16963.2,0.9285714285714286,0.3141251893469429,0.28726160599071315,0.5518446100298683,6
永康區,29,8,8,13,0,62984,1364,17957,43663,0,62984,0.27586206896551724,0.27586206896551724,0.4482758620689655,0.0,125968,37790.4,37790.4,Insufficient,37790.4,0.27586206896551724,0.6998040791535035,0.6399577317387902,0.512273370853895,7
太平區,24,13,11,0,0,42964,27081,15883,0,0,42964,0.5416666666666666,0.45833333333333326,0.0,0.0,85928,25778.399999999998,25778.399999999998,Insufficient,25778.399999999998,0.5416666666666666,0.47736540163773533,0.43654172466698504,0.49083880455808276,8
三民區,38,24,7,7,0,34717,20328,4909,9480,0,34717,0.631578947368421,0.18421052631578946,0.18421052631578946,0.0,69434,20830.2,20830.2,Insufficient,20830.2,0.631578947368421,0.3857344439218243,0.3527469289466465,0.4741759908079097,9
汐止區,24,21,2,1,0,17341,15795,1343,203,0,17341,0.875,0.08333333333333331,0.04166666666666666,0.0,34682,10404.6,10404.6,Insufficient,10404.6,0.875,0.1926727825574893,0.1761956532783304,0.4606605307507459,10
