序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,capacity,shelter_name,shelter_address,risk_level,river_buffer_m,river_distance_category,river_risk_level,longitude,latitude,geometry_wkt,geometry,shelter_id,name,geometry_500m_buffer,mean_elevation,max_slope,terrain_risk,risk_level_old
46,花蓮縣秀林鄉,和平村,和平112號,121.748879,24.308073,和平國小,和中部落,250,"水災,土石流",蔡金郎,03-868113,是,否,否,250,和平國小,和平112號,高風險,1000.0,500-1000m,中風險,121.748879,24.308073,POINT (121.748879 24.308073),POINT (326011.1106515807 2689346.507721314),SH0046,和平國小,"POLYGON ((326511.1106517919 2689346.507640283, 326508.70301512803 2689297.499070118, 326501.5032919935 2689248.962479275, 326489.580819658 2689201.365301656, 326473.0504180475 2689155.1659241007, 326452.07128396607 2689110.80927187, 326426.84545794316 2689068.722523773, 326397.61587847327 2689029.3109982014, 326364.6640423852 2688992.95424969, 326328.30729387375 2688960.0024136016, 326288.89576830174 2688930.772834132, 326246.80902020494 2688905.547008109, 326202.45236797445 2688884.5678740274, 326156.25299041916 2688868.037472417, 326108.6558128 2688856.1150000812, 326060.1192219567 2688848.915276947, 326011.1106517919 2688846.507640283, 325962.1020816271 2688848.915276947, 325913.56549078383 2688856.1150000812, 325865.96831316466 2688868.037472417, 325819.7689356094 2688884.5678740274, 325775.4122833789 2688905.547008109, 325733.3255352821 2688930.772834132, 325693.9140097101 2688960.0024136016, 325657.55726119864 2688992.95424969, 325624.60542511055 2689029.3109982014, 325595.37584564066 2689068.722523773, 325570.15001961775 2689110.80927187, 325549.1708855363 2689155.1659241007, 325532.6404839258 2689201.365301656, 325520.7180115903 2689248.962479275, 325513.5182884558 2689297.499070118, 325511.1106517919 2689346.507640283, 325513.5182884558 2689395.516210448, 325520.7180115903 2689444.052801291, 325532.6404839258 2689491.64997891, 325549.1708855363 2689537.8493564655, 325570.15001961775 2689582.206008696, 325595.37584564066 2689624.292756793, 325624.60542511055 2689663.704282365, 325657.55726119864 2689700.0610308764, 325693.9140097101 2689733.0128669646, 325733.3255352821 2689762.242446434, 325775.4122833789 2689787.4682724574, 325819.7689356094 2689808.4474065388, 325865.96831316466 2689824.977808149, 325913.56549078383 2689836.900280485, 325962.1020816271 2689844.100003619, 326011.1106517919 2689846.507640283, 326060.1192219567 2689844.100003619, 326108.6558128 2689836.900280485, 326156.25299041916 2689824.977808149, 326202.45236797445 2689808.4474065388, 326246.80902020494 2689787.4682724574, 326288.89576830174 2689762.242446434, 326328.30729387375 2689733.0128669646, 326364.6640423852 2689700.0610308764, 326397.61587847327 2689663.704282365, 326426.84545794316 2689624.292756793, 326452.07128396607 2689582.206008696, 326473.0504180475 2689537.8493564655, 326489.580819658 2689491.64997891, 326501.5032919935 2689444.052801291, 326508.70301512803 2689395.516210448, 326511.1106517919 2689346.507640283))",27.502351140126624,45.47325489245612,HIGH,Medium
1306,花蓮縣富里鄉,豐南村,豐南7鄰12-3號,121.2686,23.143,豐南社區活動中心,豐南村,50,"水災,震災,土石流,海嘯",黃瓊瑤,03-8831820,是,否,是,50,豐南社區活動中心,豐南7鄰12-3號,極高風險,500.0,<=500m,高風險,121.2686,23.143,POINT (121.2686 23.143),POINT (277505.7788830008 2560143.4173844056),SH1306,豐南社區活動中心,"POLYGON ((278005.77888307045 2560143.4173066015, 278003.3712464066 2560094.4087364366, 277996.17152327206 2560045.8721455936, 277984.24905093655 2559998.2749679745, 277967.71864932607 2559952.075590419, 277946.7395152446 2559907.7189381886, 277921.5136892217 2559865.6321900915, 277892.2841097518 2559826.22066452, 277859.3322736637 2559789.8639160083, 277822.9755251523 2559756.91207992, 277783.5639995803 2559727.6825004504, 277741.4772514835 2559702.4566744273, 277697.120599253 2559681.477540346, 277650.9212216977 2559664.9471387356, 277603.32404407853 2559653.0246663997, 277554.78745323524 2559645.8249432654, 277505.77888307045 2559643.4173066015, 277456.77031290566 2559645.8249432654, 277408.2337220624 2559653.0246663997, 277360.6365444432 2559664.9471387356, 277314.4371668879 2559681.477540346, 277270.0805146574 2559702.4566744273, 277227.9937665606 2559727.6825004504, 277188.5822409886 2559756.91207992, 277152.2254924772 2559789.8639160083, 277119.2736563891 2559826.22066452, 277090.0440769192 2559865.6321900915, 277064.8182508963 2559907.7189381886, 277043.83911681484 2559952.075590419, 277027.30871520436 2559998.2749679745, 277015.38624286884 2560045.8721455936, 277008.1865197343 2560094.4087364366, 277005.77888307045 2560143.4173066015, 277008.1865197343 2560192.4258767664, 277015.38624286884 2560240.9624676094, 277027.30871520436 2560288.5596452286, 277043.83911681484 2560334.759022784, 277064.8182508963 2560379.1156750144, 277090.0440769192 2560421.2024231115, 277119.2736563891 2560460.6139486833, 277152.2254924772 2560496.970697195, 277188.5822409886 2560529.922533283, 277227.9937665606 2560559.1521127527, 277270.0805146574 2560584.377938776, 277314.4371668879 2560605.357072857, 277360.6365444432 2560621.8874744675, 277408.2337220624 2560633.8099468034, 277456.77031290566 2560641.0096699377, 277505.77888307045 2560643.4173066015, 277554.78745323524 2560641.0096699377, 277603.32404407853 2560633.8099468034, 277650.9212216977 2560621.8874744675, 277697.120599253 2560605.357072857, 277741.4772514835 2560584.377938776, 277783.5639995803 2560559.1521127527, 277822.9755251523 2560529.922533283, 277859.3322736637 2560496.970697195, 277892.2841097518 2560460.6139486833, 277921.5136892217 2560421.2024231115, 277946.7395152446 2560379.1156750144, 277967.71864932607 2560334.759022784, 277984.24905093655 2560288.5596452286, 277996.17152327206 2560240.9624676094, 278003.3712464066 2560192.4258767664, 278005.77888307045 2560143.4173066015))",299.4591485256446,41.046370980695286,HIGH,High
1332,花蓮縣富里鄉,富南村,富南村4鄰42-1號,121.2399,23.1612,玉寶宮,富南村,20,"水災,土石流",鄧仲量,03-8831822,是,否,是,20,玉寶宮,富南村4鄰42-1號,高風險,500.0,<=500m,高風險,121.2399,23.1612,POINT (121.2399 23.1612),POINT (274563.44670140836 2562153.6820209553),SH1332,玉寶宮,"POLYGON ((275063.44670147065 2562153.6819431, 275061.03906480677 2562104.673372935, 275053.83934167225 2562056.136782092, 275041.91686933674 2562008.539604473, 275025.38646772626 2561962.3402269175, 275004.4073336448 2561917.983574687, 274979.1815076219 2561875.89682659, 274949.951928152 2561836.485301018, 274917.0000920639 2561800.1285525067, 274880.6433435525 2561767.1767164185, 274841.2318179805 2561737.947136949, 274799.14506988367 2561712.7213109257, 274754.7884176532 2561691.7421768443, 274708.5890400979 2561675.211775234, 274660.9918624787 2561663.289302898, 274612.45527163544 2561656.089579764, 274563.44670147065 2561653.6819431, 274514.43813130585 2561656.089579764, 274465.90154046257 2561663.289302898, 274418.3043628434 2561675.211775234, 274372.1049852881 2561691.7421768443, 274327.7483330576 2561712.7213109257, 274285.6615849608 2561737.947136949, 274246.2500593888 2561767.1767164185, 274209.8933108774 2561800.1285525067, 274176.9414747893 2561836.485301018, 274147.7118953194 2561875.89682659, 274122.4860692965 2561917.983574687, 274101.50693521503 2561962.3402269175, 274084.97653360455 2562008.539604473, 274073.05406126904 2562056.136782092, 274065.8543381345 2562104.673372935, 274063.44670147065 2562153.6819431, 274065.8543381345 2562202.690513265, 274073.05406126904 2562251.227104108, 274084.97653360455 2562298.824281727, 274101.50693521503 2562345.0236592824, 274122.4860692965 2562389.380311513, 274147.7118953194 2562431.46705961, 274176.9414747893 2562470.8785851817, 274209.8933108774 2562507.235333693, 274246.2500593888 2562540.1871697814, 274285.6615849608 2562569.416749251, 274327.7483330576 2562594.642575274, 274372.1049852881 2562615.6217093556, 274418.3043628434 2562632.152110966, 274465.90154046257 2562644.074583302, 274514.43813130585 2562651.274306436, 274563.44670147065 2562653.6819431, 274612.45527163544 2562651.274306436, 274660.9918624787 2562644.074583302, 274708.5890400979 2562632.152110966, 274754.7884176532 2562615.6217093556, 274799.14506988367 2562594.642575274, 274841.2318179805 2562569.416749251, 274880.6433435525 2562540.1871697814, 274917.0000920639 2562507.235333693, 274949.951928152 2562470.8785851817, 274979.1815076219 2562431.46705961, 275004.4073336448 2562389.380311513, 275025.38646772626 2562345.0236592824, 275041.91686933674 2562298.824281727, 275053.83934167225 2562251.227104108, 275061.03906480677 2562202.690513265, 275063.44670147065 2562153.6819431))",240.63090767245217,29.891892541055007,MEDIUM,High
1342,花蓮縣富里鄉,永豐村,永豐10鄰20-1號,121.2565,23.1714,永豐社區活動中心,永豐村,50,"水災,土石流",黃瓊瑤,03-8831821,是,否,是,50,永豐社區活動中心,永豐10鄰20-1號,極高風險,500.0,<=500m,高風險,121.25650000000002,23.171399999999995,POINT (121.2565 23.1714),POINT (276261.14500775794 2563286.085580361),SH1342,永豐社區活動中心,"POLYGON ((276761.14500782464 2563286.085502477, 276758.73737116077 2563237.076932312, 276751.53764802625 2563188.540341469, 276739.61517569073 2563140.94316385, 276723.08477408026 2563094.7437862945, 276702.1056399988 2563050.387134064, 276676.8798139759 2563008.300385967, 276647.650234506 2562968.888860395, 276614.6983984179 2562932.5321118836, 276578.3416499065 2562899.5802757954, 276538.93012433447 2562870.350696326, 276496.84337623767 2562845.1248703026, 276452.4867240072 2562824.145736221, 276406.2873464519 2562807.615334611, 276358.6901688327 2562795.692862275, 276310.15357798943 2562788.493139141, 276261.14500782464 2562786.085502477, 276212.13643765985 2562788.493139141, 276163.59984681656 2562795.692862275, 276116.0026691974 2562807.615334611, 276069.8032916421 2562824.145736221, 276025.4466394116 2562845.1248703026, 275983.3598913148 2562870.350696326, 275943.9483657428 2562899.5802757954, 275907.5916172314 2562932.5321118836, 275874.6397811433 2562968.888860395, 275845.4102016734 2563008.300385967, 275820.1843756505 2563050.387134064, 275799.205241569 2563094.7437862945, 275782.67483995855 2563140.94316385, 275770.75236762303 2563188.540341469, 275763.5526444885 2563237.076932312, 275761.14500782464 2563286.085502477, 275763.5526444885 2563335.094072642, 275770.75236762303 2563383.630663485, 275782.67483995855 2563431.227841104, 275799.205241569 2563477.4272186593, 275820.1843756505 2563521.78387089, 275845.4102016734 2563563.870618987, 275874.6397811433 2563603.2821445586, 275907.5916172314 2563639.63889307, 275943.9483657428 2563672.5907291584, 275983.3598913148 2563701.820308628, 276025.4466394116 2563727.046134651, 276069.8032916421 2563748.0252687326, 276116.0026691974 2563764.555670343, 276163.59984681656 2563776.4781426787, 276212.13643765985 2563783.677865813, 276261.14500782464 2563786.085502477, 276310.15357798943 2563783.677865813, 276358.6901688327 2563776.4781426787, 276406.2873464519 2563764.555670343, 276452.4867240072 2563748.0252687326, 276496.84337623767 2563727.046134651, 276538.93012433447 2563701.820308628, 276578.3416499065 2563672.5907291584, 276614.6983984179 2563639.63889307, 276647.650234506 2563603.2821445586, 276676.8798139759 2563563.870618987, 276702.1056399988 2563521.78387089, 276723.08477408026 2563477.4272186593, 276739.61517569073 2563431.227841104, 276751.53764802625 2563383.630663485, 276758.73737116077 2563335.094072642, 276761.14500782464 2563286.085502477))",257.4568151540308,32.28624886500252,HIGH,High
1350,花蓮縣富里鄉,富里村,中山路205號,121.247624,23.174527,富里老人文康中心,富里村,100,"水災,土石流",古智雄,03-8831048,是,否,是,100,富里老人文康中心,中山路205號,極高風險,500.0,<=500m,高風險,121.24762400000002,23.174527,POINT (121.247624 23.174527),POINT (275351.8038631432 2563630.784185125),SH1350,富里老人文康中心,"POLYGON ((275851.8038632076 2563630.7841072325, 275849.3962265437 2563581.7755370676, 275842.1965034092 2563533.2389462246, 275830.27403107367 2563485.6417686054, 275813.7436294632 2563439.44239105, 275792.76449538174 2563395.0857388196, 275767.5386693588 2563352.9989907225, 275738.30908988893 2563313.5874651507, 275705.35725380084 2563277.230716639, 275669.0005052894 2563244.278880551, 275629.5889797174 2563215.0493010813, 275587.5022316206 2563189.823475058, 275543.1455793901 2563168.844340977, 275496.9462018348 2563152.3139393665, 275449.34902421565 2563140.3914670306, 275400.81243337237 2563133.1917438963, 275351.8038632076 2563130.7841072325, 275302.7952930428 2563133.1917438963, 275254.2587021995 2563140.3914670306, 275206.6615245803 2563152.3139393665, 275160.46214702504 2563168.844340977, 275116.10549479455 2563189.823475058, 275074.01874669775 2563215.0493010813, 275034.60722112574 2563244.278880551, 274998.2504726143 2563277.230716639, 274965.2986365262 2563313.5874651507, 274936.06905705633 2563352.9989907225, 274910.8432310334 2563395.0857388196, 274889.86409695196 2563439.44239105, 274873.3336953415 2563485.6417686054, 274861.41122300597 2563533.2389462246, 274854.21149987145 2563581.7755370676, 274851.8038632076 2563630.7841072325, 274854.21149987145 2563679.7926773974, 274861.41122300597 2563728.3292682404, 274873.3336953415 2563775.9264458595, 274889.86409695196 2563822.125823415, 274910.8432310334 2563866.4824756454, 274936.06905705633 2563908.5692237425, 274965.2986365262 2563947.980749314, 274998.2504726143 2563984.3374978257, 275034.60722112574 2564017.289333914, 275074.01874669775 2564046.5189133836, 275116.10549479455 2564071.7447394067, 275160.46214702504 2564092.723873488, 275206.6615245803 2564109.2542750984, 275254.2587021995 2564121.1767474343, 275302.7952930428 2564128.3764705686, 275351.8038632076 2564130.7841072325, 275400.81243337237 2564128.3764705686, 275449.34902421565 2564121.1767474343, 275496.9462018348 2564109.2542750984, 275543.1455793901 2564092.723873488, 275587.5022316206 2564071.7447394067, 275629.5889797174 2564046.5189133836, 275669.0005052894 2564017.289333914, 275705.35725380084 2563984.3374978257, 275738.30908988893 2563947.980749314, 275767.5386693588 2563908.5692237425, 275792.76449538174 2563866.4824756454, 275813.7436294632 2563822.125823415, 275830.27403107367 2563775.9264458595, 275842.1965034092 2563728.3292682404, 275849.3962265437 2563679.7926773974, 275851.8038632076 2563630.7841072325))",238.32434659181177,30.526334277140307,HIGH,High
1353,花蓮縣卓溪鄉,古風村,23鄰16-1號,121.2359,23.1784,石平社區活動中心,古風村石平社區,50,"水災,土石流",林章成,03-8881852,是,否,是,50,石平社區活動中心,23鄰16-1號,極高風險,500.0,<=500m,高風險,121.23590000000002,23.178400000000003,POINT (121.2359 23.1784),POINT (274150.79817006085 2564057.671782349),SH1353,石平社區活動中心,"POLYGON ((274650.7981701222 2564057.6717044446, 274648.3905334583 2564008.6631342797, 274641.1908103238 2563960.1265434367, 274629.2683379883 2563912.5293658176, 274612.7379363778 2563866.329988262, 274591.75880229636 2563821.9733360317, 274566.53297627345 2563779.8865879346, 274537.30339680356 2563740.475062363, 274504.35156071547 2563704.1183138513, 274467.99481220404 2563671.166477763, 274428.583286632 2563641.9368982934, 274386.4965385352 2563616.7110722703, 274342.13988630474 2563595.731938189, 274295.94050874945 2563579.2015365786, 274248.3433311303 2563567.2790642427, 274199.806740287 2563560.0793411084, 274150.7981701222 2563557.6717044446, 274101.7895999574 2563560.0793411084, 274053.2530091141 2563567.2790642427, 274005.65583149495 2563579.2015365786, 273959.45645393967 2563595.731938189, 273915.0998017092 2563616.7110722703, 273873.0130536124 2563641.9368982934, 273833.60152804037 2563671.166477763, 273797.24477952893 2563704.1183138513, 273764.29294344084 2563740.475062363, 273735.06336397096 2563779.8865879346, 273709.83753794804 2563821.9733360317, 273688.8584038666 2563866.329988262, 273672.3280022561 2563912.5293658176, 273660.4055299206 2563960.1265434367, 273653.2058067861 2564008.6631342797, 273650.7981701222 2564057.6717044446, 273653.2058067861 2564106.6802746095, 273660.4055299206 2564155.2168654525, 273672.3280022561 2564202.8140430716, 273688.8584038666 2564249.013420627, 273709.83753794804 2564293.3700728575, 273735.06336397096 2564335.4568209546, 273764.29294344084 2564374.8683465263, 273797.24477952893 2564411.225095038, 273833.60152804037 2564444.176931126, 273873.0130536124 2564473.4065105957, 273915.0998017092 2564498.632336619, 273959.45645393967 2564519.6114707002, 274005.65583149495 2564536.1418723105, 274053.2530091141 2564548.0643446464, 274101.7895999574 2564555.2640677807, 274150.7981701222 2564557.6717044446, 274199.806740287 2564555.2640677807, 274248.3433311303 2564548.0643446464, 274295.94050874945 2564536.1418723105, 274342.13988630474 2564519.6114707002, 274386.4965385352 2564498.632336619, 274428.583286632 2564473.4065105957, 274467.99481220404 2564444.176931126, 274504.35156071547 2564411.225095038, 274537.30339680356 2564374.8683465263, 274566.53297627345 2564335.4568209546, 274591.75880229636 2564293.3700728575, 274612.7379363778 2564249.013420627, 274629.2683379883 2564202.8140430716, 274641.1908103238 2564155.2168654525, 274648.3905334583 2564106.6802746095, 274650.7981701222 2564057.6717044446))",265.35810859851796,49.29889358593531,HIGH,High
1355,花蓮縣富里鄉,富里村,中山路376號,121.2503,23.1795,富里鄉公所2樓,富里村,100,"水災,土石流",陳伯昇,03-8831111,是,否,是,100,富里鄉公所2樓,中山路376號,高風險,1000.0,500-1000m,中風險,121.2503,23.1795,POINT (121.2503 23.1795),POINT (275624.8277478156 2564181.9435479883),SH1355,富里鄉公所2樓,"POLYGON ((276124.82774788066 2564181.9434700813, 276122.4201112168 2564132.9348999164, 276115.22038808226 2564084.3983090734, 276103.29791574675 2564036.8011314543, 276086.76751413627 2563990.601753899, 276065.7883800548 2563946.2451016684, 276040.5625540319 2563904.1583535713, 276011.332974562 2563864.7468279996, 275978.3811384739 2563828.390079488, 275942.0243899625 2563795.4382434, 275902.6128643905 2563766.20866393, 275860.5261162937 2563740.982837907, 275816.1694640632 2563720.0037038256, 275769.9700865079 2563703.4733022153, 275722.37290888873 2563691.5508298795, 275673.83631804545 2563684.351106745, 275624.82774788066 2563681.9434700813, 275575.81917771586 2563684.351106745, 275527.2825868726 2563691.5508298795, 275479.6854092534 2563703.4733022153, 275433.4860316981 2563720.0037038256, 275389.12937946763 2563740.982837907, 275347.04263137083 2563766.20866393, 275307.6311057988 2563795.4382434, 275271.2743572874 2563828.390079488, 275238.3225211993 2563864.7468279996, 275209.0929417294 2563904.1583535713, 275183.8671157065 2563946.2451016684, 275162.88798162504 2563990.601753899, 275146.35758001456 2564036.8011314543, 275134.43510767905 2564084.3983090734, 275127.23538454453 2564132.9348999164, 275124.82774788066 2564181.9434700813, 275127.23538454453 2564230.952040246, 275134.43510767905 2564279.488631089, 275146.35758001456 2564327.0858087083, 275162.88798162504 2564373.2851862637, 275183.8671157065 2564417.641838494, 275209.0929417294 2564459.7285865913, 275238.3225211993 2564499.140112163, 275271.2743572874 2564535.4968606746, 275307.6311057988 2564568.448696763, 275347.04263137083 2564597.6782762324, 275389.12937946763 2564622.9041022556, 275433.4860316981 2564643.883236337, 275479.6854092534 2564660.4136379473, 275527.2825868726 2564672.336110283, 275575.81917771586 2564679.5358334174, 275624.82774788066 2564681.9434700813, 275673.83631804545 2564679.5358334174, 275722.37290888873 2564672.336110283, 275769.9700865079 2564660.4136379473, 275816.1694640632 2564643.883236337, 275860.5261162937 2564622.9041022556, 275902.6128643905 2564597.6782762324, 275942.0243899625 2564568.448696763, 275978.3811384739 2564535.4968606746, 276011.332974562 2564499.140112163, 276040.5625540319 2564459.7285865913, 276065.7883800548 2564417.641838494, 276086.76751413627 2564373.2851862637, 276103.29791574675 2564327.0858087083, 276115.22038808226 2564279.488631089, 276122.4201112168 2564230.952040246, 276124.82774788066 2564181.9434700813))",246.17891436468935,32.616479363973724,HIGH,Medium
1379,花蓮縣富里鄉,石牌村,8鄰富北34-2號,121.2643,23.1928,石牌社區活動中心,石牌村,30,"水災,土石流",王貞予,03-8831323,是,否,是,30,石牌社區活動中心,8鄰富北34-2號,高風險,500.0,<=500m,高風險,121.26430000000002,23.1928,POINT (121.2643 23.1928),POINT (277055.4301601831 2565657.270666278),SH1379,石牌社區活動中心,"POLYGON ((277555.4301602519 2565657.270588333, 277553.02252358804 2565608.262018168, 277545.8228004535 2565559.725427325, 277533.900328118 2565512.128249706, 277517.3699265075 2565465.9288721504, 277496.3907924261 2565421.57221992, 277471.16496640316 2565379.485471823, 277441.93538693327 2565340.073946251, 277408.9835508452 2565303.7171977395, 277372.62680233375 2565270.7653616513, 277333.21527676174 2565241.5357821817, 277291.12852866494 2565216.3099561585, 277246.77187643445 2565195.330822077, 277200.57249887916 2565178.800420467, 277152.97532126 2565166.877948131, 277104.4387304167 2565159.6782249967, 277055.4301602519 2565157.270588333, 277006.4215900871 2565159.6782249967, 276957.88499924383 2565166.877948131, 276910.28782162466 2565178.800420467, 276864.0884440694 2565195.330822077, 276819.7317918389 2565216.3099561585, 276777.6450437421 2565241.5357821817, 276738.2335181701 2565270.7653616513, 276701.87676965864 2565303.7171977395, 276668.92493357055 2565340.073946251, 276639.69535410067 2565379.485471823, 276614.46952807775 2565421.57221992, 276593.4903939963 2565465.9288721504, 276576.9599923858 2565512.128249706, 276565.0375200503 2565559.725427325, 276557.8377969158 2565608.262018168, 276555.4301602519 2565657.270588333, 276557.8377969158 2565706.2791584977, 276565.0375200503 2565754.8157493407, 276576.9599923858 2565802.41292696, 276593.4903939963 2565848.612304515, 276614.46952807775 2565892.9689567457, 276639.69535410067 2565935.055704843, 276668.92493357055 2565974.4672304145, 276701.87676965864 2566010.823978926, 276738.2335181701 2566043.7758150143, 276777.6450437421 2566073.005394484, 276819.7317918389 2566098.231220507, 276864.0884440694 2566119.2103545885, 276910.28782162466 2566135.7407561988, 276957.88499924383 2566147.6632285346, 277006.4215900871 2566154.862951669, 277055.4301602519 2566157.270588333, 277104.4387304167 2566154.862951669, 277152.97532126 2566147.6632285346, 277200.57249887916 2566135.7407561988, 277246.77187643445 2566119.2103545885, 277291.12852866494 2566098.231220507, 277333.21527676174 2566073.005394484, 277372.62680233375 2566043.7758150143, 277408.9835508452 2566010.823978926, 277441.93538693327 2565974.4672304145, 277471.16496640316 2565935.055704843, 277496.3907924261 2565892.9689567457, 277517.3699265075 2565848.612304515, 277533.900328118 2565802.41292696, 277545.8228004535 2565754.8157493407, 277553.02252358804 2565706.2791584977, 277555.4301602519 2565657.270588333))",217.7405811119274,27.666911420642784,MEDIUM,High
1386,花蓮縣富里鄉,明里村,3鄰明里37號,121.2522,23.1998,明里社區活動中心,明里村,50,"水災,土石流",徐祥寶,03-8846057,是,否,是,50,明里社區活動中心,3鄰明里37號,高風險,1000.0,500-1000m,中風險,121.25220000000002,23.199800000000003,POINT (121.2522 23.1998),POINT (275815.4475165397 2566430.2269691364),SH1386,明里社區活動中心,"POLYGON ((276315.44751660543 2566430.226891172, 276313.03987994156 2566381.218321007, 276305.84015680704 2566332.681730164, 276293.9176844715 2566285.084552545, 276277.38728286105 2566238.8851749897, 276256.4081487796 2566194.528522759, 276231.1823227567 2566152.441774662, 276201.9527432868 2566113.0302490904, 276169.0009071987 2566076.673500579, 276132.64415868727 2566043.7216644906, 276093.23263311526 2566014.492085021, 276051.14588501846 2565989.266258998, 276006.78923278797 2565968.2871249164, 275960.5898552327 2565951.756723306, 275912.9926776135 2565939.8342509703, 275864.4560867702 2565932.634527836, 275815.44751660543 2565930.226891172, 275766.43894644064 2565932.634527836, 275717.90235559735 2565939.8342509703, 275670.3051779782 2565951.756723306, 275624.1058004229 2565968.2871249164, 275579.7491481924 2565989.266258998, 275537.6624000956 2566014.492085021, 275498.2508745236 2566043.7216644906, 275461.89412601216 2566076.673500579, 275428.9422899241 2566113.0302490904, 275399.7127104542 2566152.441774662, 275374.4868844313 2566194.528522759, 275353.5077503498 2566238.8851749897, 275336.97734873934 2566285.084552545, 275325.0548764038 2566332.681730164, 275317.8551532693 2566381.218321007, 275315.44751660543 2566430.226891172, 275317.8551532693 2566479.235461337, 275325.0548764038 2566527.77205218, 275336.97734873934 2566575.369229799, 275353.5077503498 2566621.5686073545, 275374.4868844313 2566665.925259585, 275399.7127104542 2566708.012007682, 275428.9422899241 2566747.423533254, 275461.89412601216 2566783.7802817654, 275498.2508745236 2566816.7321178536, 275537.6624000956 2566845.9616973232, 275579.7491481924 2566871.1875233464, 275624.1058004229 2566892.166657428, 275670.3051779782 2566908.697059038, 275717.90235559735 2566920.619531374, 275766.43894644064 2566927.8192545082, 275815.44751660543 2566930.226891172, 275864.4560867702 2566927.8192545082, 275912.9926776135 2566920.619531374, 275960.5898552327 2566908.697059038, 276006.78923278797 2566892.166657428, 276051.14588501846 2566871.1875233464, 276093.23263311526 2566845.9616973232, 276132.64415868727 2566816.7321178536, 276169.0009071987 2566783.7802817654, 276201.9527432868 2566747.423533254, 276231.1823227567 2566708.012007682, 276256.4081487796 2566665.925259585, 276277.38728286105 2566621.5686073545, 276293.9176844715 2566575.369229799, 276305.84015680704 2566527.77205218, 276313.03987994156 2566479.235461337, 276315.44751660543 2566430.226891172))",222.76228475692258,45.127977759573895,HIGH,Medium
1389,花蓮縣富里鄉,羅山村,9鄰東湖39號,121.2776,23.2021,羅山縱管處,羅山村,50,"水災,土石流",徐祥寶,03-8821330,是,否,是,50,羅山縱管處,9鄰東湖39號,極高風險,500.0,<=500m,高風險,121.27760000000002,23.2021,POINT (121.2776 23.2021),POINT (278414.94458397356 2566689.6567299357),SH1389,羅山縱管處,"POLYGON ((278914.9445840459 2566689.6566519653, 278912.53694738203 2566640.6480818004, 278905.3372242475 2566592.1114909574, 278893.414751912 2566544.5143133383, 278876.8843503015 2566498.314935783, 278855.90521622007 2566453.9582835524, 278830.67939019715 2566411.8715354553, 278801.44981072727 2566372.4600098836, 278768.4979746392 2566336.103261372, 278732.14122612774 2566303.151425284, 278692.72970055573 2566273.921845814, 278650.64295245893 2566248.696019791, 278606.28630022844 2566227.7168857097, 278560.08692267316 2566211.1864840994, 278512.489745054 2566199.2640117635, 278463.9531542107 2566192.064288629, 278414.9445840459 2566189.6566519653, 278365.9360138811 2566192.064288629, 278317.39942303783 2566199.2640117635, 278269.80224541866 2566211.1864840994, 278223.6028678634 2566227.7168857097, 278179.2462156329 2566248.696019791, 278137.1594675361 2566273.921845814, 278097.7479419641 2566303.151425284, 278061.39119345264 2566336.103261372, 278028.43935736455 2566372.4600098836, 277999.20977789466 2566411.8715354553, 277973.98395187175 2566453.9582835524, 277953.0048177903 2566498.314935783, 277936.4744161798 2566544.5143133383, 277924.5519438443 2566592.1114909574, 277917.3522207098 2566640.6480818004, 277914.9445840459 2566689.6566519653, 277917.3522207098 2566738.6652221303, 277924.5519438443 2566787.2018129732, 277936.4744161798 2566834.7989905924, 277953.0048177903 2566880.9983681478, 277973.98395187175 2566925.3550203783, 277999.20977789466 2566967.4417684753, 278028.43935736455 2567006.853294047, 278061.39119345264 2567043.2100425586, 278097.7479419641 2567076.161878647, 278137.1594675361 2567105.3914581165, 278179.2462156329 2567130.6172841396, 278223.6028678634 2567151.596418221, 278269.80224541866 2567168.1268198313, 278317.39942303783 2567180.049292167, 278365.9360138811 2567187.2490153015, 278414.9445840459 2567189.6566519653, 278463.9531542107 2567187.2490153015, 278512.489745054 2567180.049292167, 278560.08692267316 2567168.1268198313, 278606.28630022844 2567151.596418221, 278650.64295245893 2567130.6172841396, 278692.72970055573 2567105.3914581165, 278732.14122612774 2567076.161878647, 278768.4979746392 2567043.2100425586, 278801.44981072727 2567006.853294047, 278830.67939019715 2566967.4417684753, 278855.90521622007 2566925.3550203783, 278876.8843503015 2566880.9983681478, 278893.414751912 2566834.7989905924, 278905.3372242475 2566787.2018129732, 278912.53694738203 2566738.6652221303, 278914.9445840459 2566689.6566519653))",222.57304280443415,30.42821718896114,HIGH,High
