Asset,Type,Location,W4 Terrain Risk,W7 Centrality Rank,Barrier Lake Hit (Y/N),Landslide Hit (Y/N),Debris Flow Hit (Y/N),Notes,geometry,debris_sort,landslide_sort,risk_sort
富民社區活動中心,W3 Shelter,"334114.1, 2608038.2",,,N,Y,N,,POINT (334114.1114258912 2608038.1993134175),0,1,0
光復自強外役監獄,W3 Shelter,"338021.9, 2610619.2",,,N,Y,N,,POINT (338021.8870770811 2610619.161943167),0,1,0
大富國小,W3 Shelter,"335829.2, 2611673.6",,,N,Y,N,,POINT (335829.1541145524 2611673.6484198533),0,1,0
大興活動中心,W3 Shelter,"336198.9, 2614604.4",,,N,Y,N,,POINT (336198.8646273165 2614604.4262918523),0,1,0
砂荖活動中心,W3 Shelter,"342023.9, 2615437.2",,,N,Y,N,,POINT (342023.91277811874 2615437.1957021295),0,1,0
太巴塱國小,W3 Shelter,"341760.2, 2617455.7",,,N,Y,N,,POINT (341760.16816305026 2617455.70237838),0,1,0
大同活動中心,W3 Shelter,"339989.2, 2617829.5",,,N,Y,N,,POINT (339989.22457709664 2617829.463460554),0,1,0
光復鄉公所,W3 Shelter,"339211.3, 2618513.6",,,N,Y,N,,POINT (339211.28686107305 2618513.619356804),0,1,0
光復國中,W3 Shelter,"339365.6, 2618633.7",,,N,Y,N,,POINT (339365.6249900394 2618633.7410247466),0,1,0
馬太鞍社區活動中心,W3 Shelter,"337051.4, 2621483.7",,,N,Y,N,,POINT (337051.38662419445 2621483.66767301),0,1,0
萬榮鄉立幼兒園,W3 Shelter,"338394.8, 2622993.3",,,N,Y,N,,POINT (338394.8414406883 2622993.280759912),0,1,0
鳳信社區活動中心,W3 Shelter,"341334.3, 2625168.6",,,N,Y,N,,POINT (341334.3261196192 2625168.577639872),0,1,0
鳳義社區活動中心,W3 Shelter,"340939.9, 2627321.5",,,N,Y,N,,POINT (340939.90332369076 2627321.4742701706),0,1,0
Guangfu_Station,W8 Guangfu Overlay,"339234.7, 2618790.2",,2,N,Y,N,,POINT (339234.74498353805 2618790.238417656),0,1,0
Guangfu_Elementary,W8 Guangfu Overlay,"339281.9, 2618446.4",,1,N,Y,N,,POINT (339281.94986618153 2618446.387918443),0,1,0
Guangfu_Township_Office,W8 Guangfu Overlay,"338975.5, 2618405.5",,1,N,Y,N,,POINT (338975.4715072451 2618405.475709997),0,1,0
Foxu_Debris_Zone,W8 Guangfu Overlay,"339480.1, 2617912.6",,3,N,Y,N,,POINT (339480.0788395181 2617912.595540022),0,1,0
八里灣基督長老教會,W3 Shelter,"345477.4, 2607227.0",,,N,N,N,,POINT (345477.35136065906 2607227.022250002),0,0,0
馬遠社區活動中心,W3 Shelter,"332897.9, 2608336.4",,,N,N,N,,POINT (332897.91717405565 2608336.3567233155),0,0,0
馬遠國民小學,W3 Shelter,"332834.7, 2608337.6",,,N,N,N,,POINT (332834.7425403293 2608337.6329712775),0,0,0
富源社區活動中心,W3 Shelter,"334261.2, 2608402.0",,,N,N,N,,POINT (334261.1549618015 2608402.014562214),0,0,0
富源消防分隊,W3 Shelter,"334312.4, 2608423.6",,,N,N,N,,POINT (334312.44024768175 2608423.583523964),0,0,0
富興社區活動中心,W3 Shelter,"335470.7, 2608842.4",,,N,N,N,,POINT (335470.67152068863 2608842.4302567975),0,0,0
花東山琉璃禪寺,W3 Shelter,"338400.9, 2610747.9",,,N,N,N,,POINT (338400.9476272485 2610747.862179504),0,0,0
大興國小,W3 Shelter,"336605.1, 2614433.7",,,N,N,N,,POINT (336605.0990195564 2614433.7382840742),0,0,0
馬佛活動中心,W3 Shelter,"339803.2, 2614830.2",,,N,N,N,,POINT (339803.2187055523 2614830.1656773947),0,0,0
光復鄉立托兒所,W3 Shelter,"338690.3, 2616603.4",,,N,N,N,,POINT (338690.2796783481 2616603.386058101),0,0,0
西南活動中心,W3 Shelter,"341860.1, 2617266.3",,,N,N,N,,POINT (341860.1251182711 2617266.341540486),0,0,0
東富國小,W3 Shelter,"345267.2, 2620120.3",,,N,N,N,,POINT (345267.15534910304 2620120.259428628),0,0,0
明利社區活動中心,W3 Shelter,"338140.7, 2622449.9",,,N,N,N,,POINT (338140.6754587423 2622449.880319257),0,0,0
長橋社區活動中心,W3 Shelter,"338873.2, 2622980.7",,,N,N,N,,POINT (338873.17725367774 2622980.6561707505),0,0,0
萬榮社區活動中心,W3 Shelter,"337922.4, 2623510.9",,,N,N,N,,POINT (337922.4476223707 2623510.8867546143),0,0,0
森榮里辦公處,W3 Shelter,"336609.2, 2623880.9",,,N,N,N,,POINT (336609.2084566187 2623880.902404182),0,0,0
