date,index_name,value,bbox,event_date,event_label
2022-01-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-02-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-03-15,NDVI,0.24943513375552262,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-04-15,NDVI,0.15294662137602386,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-05-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-06-15,NDVI,0.5572213989037734,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-07-15,NDVI,0.26502201978448453,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-08-15,NDVI,0.24903330015761255,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-09-15,NDVI,0.25872049706259553,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-10-15,NDVI,0.25530900203180046,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-11-15,NDVI,0.23930695314868528,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2022-12-15,NDVI,0.09062940630310187,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-01-15,NDVI,0.2859636495383641,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-02-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-03-15,NDVI,0.25559046018403886,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-04-15,NDVI,0.22324132692067428,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-05-15,NDVI,0.26726631538437684,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-06-15,NDVI,0.2518035523041181,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-07-15,NDVI,0.2562922463677816,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-08-15,NDVI,0.24456616396213393,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-09-15,NDVI,0.25632600836251257,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-10-15,NDVI,0.24580399721089416,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-11-15,NDVI,0.2626890147981919,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2023-12-15,NDVI,0.23853027634695328,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-01-15,NDVI,0.24836951421725417,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-02-15,NDVI,0.25435228566858675,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-03-15,NDVI,0.21648303641275873,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-04-15,NDVI,0.2989822478698723,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-05-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-06-15,NDVI,0.24414683773641488,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-07-15,NDVI,0.2563954721453024,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-08-15,NDVI,0.257201692767679,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-09-15,NDVI,0.25764940596837743,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-10-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-11-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2024-12-15,NDVI,,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2025-01-15,NDVI,0.26227326466619916,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
2025-02-15,NDVI,0.2530810596129822,"[121.49, 25.01, 121.58, 25.08]",2024-07-24,Typhoon Gaemi
