date,VV,VV_smooth
2022-01-03,-6.265658021993047,
2022-02-08,-6.302478451134329,
2022-07-26,-6.426110061104737,-6.41123891177056
2022-08-07,-6.448332051858167,-6.398633836703558
2022-08-19,-6.613615972762521,-6.435838585412695
2022-08-31,-6.202632646658041,-6.340095913391898
2022-09-12,-6.48850219468001,-6.210320653995412
2022-09-24,-5.947396701000751,-6.0325659095679205
2022-10-06,-5.799455754875736,-5.8737299546363175
2022-10-18,-5.724842250625064,-5.78308674032842
2022-10-30,-5.408452872000026,-5.775404135531003
2022-11-11,-6.03528612314052,-5.848833968374276
2022-11-23,-5.90898367701367,-5.93756846585695
2022-12-05,-6.166604919092101,-6.084099359844548
2022-12-17,-6.168514738038435,-6.087822981387743
2022-12-29,-6.141107341938014,-6.188538248308161
2023-01-10,-6.0539042308564905,-6.206081904049394
2023-01-22,-6.412560011615765,-6.3327030202809595
2023-02-03,-6.254323197798263,-6.480218246765245
2023-02-15,-6.801620319196265,-6.632343403316551
2023-02-27,-6.878683474359444,-6.6825981202954905
2023-03-11,-6.814530013613015,-6.698288374336845
2023-03-23,-6.663833596510466,-6.607143380992727
2023-04-04,-6.332774468005036,-6.42786599331726
2023-04-16,-6.345895352475672,-6.289121162688581
2023-04-28,-5.98229653598211,-6.062881608476567
2023-05-10,-6.120805860469619,-5.895834763523597
2023-05-22,-5.532635825450395,-5.7203189004415504
2023-06-03,-5.497540243240192,-5.594593000095079
2023-06-15,-5.468316037065435,-5.607747342260267
2023-06-27,-5.353667034249754,-5.738485270045831
2023-07-09,-6.18657757129556,-5.842746140692783
2023-07-21,-6.186325464378215,-5.980105805171155
2023-08-02,-6.01884459647495,-6.136772323768627
2023-08-14,-6.155114359457298,-6.012895408562416
2023-08-26,-6.136999627237112,-6.018587316029137
2023-09-07,-5.567192995264508,-6.051723901093968
2023-09-19,-6.214785001711817,-5.958940076552241
2023-10-01,-6.184527521799106,-5.96527304936491
2023-10-13,-5.691195236748659,-6.02554866584781
2023-10-25,-6.1686644913004605,-6.086826758397224
2023-11-06,-5.86857107767901,-6.03618122724641
2023-11-18,-6.521175464458887,-6.085204287047558
2023-11-30,-5.931299866045033,-6.12843248605481
2023-12-12,-5.936310535754396,-6.225888042363106
2023-12-24,-6.384805486336721,-6.177334850888032
2024-01-05,-6.355848859220494,-6.259365203155224
2024-01-17,-6.2784095070835155,-6.373227290248816
2024-01-29,-6.3414516273809935,-6.313649986031829
2024-02-10,-6.505620971222359,-6.300794402693856
2024-02-22,-6.086918965251785,-6.321305950005131
2024-03-05,-6.291570942530629,-6.313355323175087
2024-03-17,-6.380967243639893,-6.203562900091137
2024-03-29,-6.30169849323077,-6.177174327225971
2024-04-10,-5.95665885580261,-6.052214040765459
2024-04-22,-5.9549761009259505,-6.007506085358967
2024-05-04,-5.666769510228071,-5.901002345854971
2024-05-16,-6.157427466607434,-5.818508813724009
2024-05-28,-5.769179795710791,-5.76432285825374
2024-06-09,-5.544191195147799,-5.794516984550956
2024-06-21,-5.684046323574606,-5.8359381314050855
2024-07-03,-5.817740141714149,-5.804600797962089
2024-07-15,-6.364533200878083,-5.924328618209618
2024-07-27,-5.61249312849581,-6.019955197631439
2024-08-08,-6.14283029638544,-6.133652151543267
2024-08-20,-6.162179220683712,-6.0500907750152235
2024-09-01,-6.386224911273292,-6.163974760685458
2024-09-13,-5.946726318237862,-6.105461512581671
2024-09-25,-6.181913056846985,-5.938880538509392
2024-10-07,-5.850264055866504,-5.727490293850432
2024-10-19,-5.329274350322315,-5.6040601615848455
2024-10-19,-5.329273687978497,-5.485045361197652
2024-10-31,-5.329575656909929,-5.478979422475262
2024-11-12,-5.586839054911015,-5.643042381895571
2024-11-24,-5.819934362254553,-5.845633834413862
2024-12-06,-6.14958914742386,-6.003336127143516
2024-12-18,-6.342230950569953,-6.157679551410522
2024-12-30,-6.1180871205582,-6.275098302744519
2025-01-11,-6.358556176246041,-6.331824237477447
2025-01-23,-6.407028118924538,-6.306488264525819
2025-02-04,-6.433218821088502,-6.365869182892607
2025-02-16,-6.215551085811812,-6.368994112642843
2025-02-28,-6.4149917123921405,-6.386871810996436
2025-03-12,-6.374180824997224,-6.4465030254262246
2025-03-24,-6.496416610692504,-6.442483062365146
2025-03-30,-6.731374893237444,-6.509182184529652
2025-04-05,-6.195451270506416,-6.48437738407313
2025-04-11,-6.748487323214671,-6.47302510764757
2025-04-17,-6.2501568227146205,-6.370166687235077
2025-04-23,-6.439655228564693,-6.442211566485403
2025-04-29,-6.217082791174985,-6.2424833089645455
2025-05-05,-6.55567566675805,-6.2778837972616826
2025-05-11,-5.749846035610378,-6.195072642595197
2025-05-17,-6.4271592642003075,-6.165316749412304
2025-05-23,-6.025599455232266,-5.959554431662045
2025-05-29,-6.068303325260518,-6.016543538602552
2025-06-04,-5.526864078006751,-5.923199961090271
2025-06-10,-6.034791570312917,-5.973899183022214
2025-06-16,-5.960441376638903,-5.997651667415494
2025-06-22,-6.2790955648919775,-6.190480487349548
2025-06-28,-6.187065747226919,-6.124238349334266
2025-07-04,-6.491008177677024,-6.177234612164449
2025-07-10,-5.703580880236506,-6.045646518032566
2025-07-16,-6.225422690789821,-6.032753608901889
2025-07-22,-5.6211550942325585,-5.974257524010397
2025-07-28,-6.12260120157354,-6.113769172573818
2025-08-03,-6.198527753219561,-6.116351553639625
2025-08-09,-6.40113912305361,-6.274156343484965
2025-08-15,-6.238334596118852,-6.258754688150431
2025-08-21,-6.410179043459262,-6.327788739998211
2025-08-27,-6.045592924900869,-6.309692772261871
2025-09-02,-6.543698012458462,-6.375976245037556
2025-09-08,-6.310659284371913,-6.372717326215965
2025-09-14,-6.569751959997277,-6.460073465279369
2025-09-20,-6.393884449351302,-6.43355225328416
2025-09-26,-6.482373620217889,-6.5075771088045204
2025-10-02,-6.411091952482418,-6.480589896550525
2025-10-08,-6.680783561973713,-6.432992182710196
2025-10-14,-6.434815898727302,-6.28942239296841
2025-10-20,-6.155895880149655,-6.214786403824471
2025-10-26,-5.764524671508964,-6.08569100245732
2025-11-01,-6.03791200676272,-5.984487538707952
2025-11-07,-6.0353065551379625,-6.046536230876624
2025-11-13,-5.92879857998046,-6.239452256823782
2025-11-19,-6.466139340993017,-6.324081967045243
2025-11-25,-6.729104801244752,-6.419922546038578
2025-12-01,-6.4610605578700175,-6.477287965577058
2025-12-07,-6.514509450104644,-6.379964316771654
2025-12-13,-6.21562567767286,-6.316274116416945
2025-12-19,-5.979521096965999,-6.299870956058039
2025-12-25,-6.410653799471205,-6.2640039830226515
2025-12-31,-6.379044756075487,-6.372444781931108
2026-01-06,-6.335174584927707,-6.528175746931042
2026-01-12,-6.757829672215141,-6.537847252742449
2026-01-18,-6.758175921965668,-6.529324201015564
2026-01-24,-6.459011328528241,-6.520997028774149
2026-01-30,-6.33642949744106,-6.478921275498149
2026-02-05,-6.293538723720633,-6.346056007766153
2026-02-11,-6.547450905835147,-6.335939381005295
2026-02-17,-6.093849583305681,-6.26828869170779
2026-02-23,-6.408428194723953,-6.279974479626394
2026-03-01,-5.998176050953532,-6.331532237792303
2026-03-07,-6.351967663313654,-6.371805649769405
2026-03-13,-6.805239696664698,-6.313461253306816
2026-03-19,-6.295216643191187,
2026-03-25,-6.116706212411008,
