date,month,image_count,mean_ndvi
2020-01-01,2020-01,8,0.4595180237596787
2020-02-01,2020-02,4,0.46105951830890324
2020-03-01,2020-03,5,0.43033547091987345
2020-04-01,2020-04,2,0.4992986490181259
2020-05-01,2020-05,4,0.43834946972661093
2020-06-01,2020-06,5,0.5504583692255614
2020-07-01,2020-07,5,0.5292347531617662
2020-08-01,2020-08,4,0.5118675440523274
2020-09-01,2020-09,5,0.4927676128528626
2020-10-01,2020-10,3,0.48198682522595937
2020-11-01,2020-11,5,0.49933874426247143
2020-12-01,2020-12,2,0.3467006753198083
2021-01-01,2021-01,6,0.49182843444398405
2021-02-01,2021-02,6,0.4271264291987783
2021-03-01,2021-03,6,0.4794802852955849
2021-04-01,2021-04,4,0.4705243241995113
2021-05-01,2021-05,5,0.5245281744302945
2021-06-01,2021-06,2,0.6667488727818425
2021-07-01,2021-07,6,0.5332221667666422
2021-08-01,2021-08,3,0.48629122891926635
2021-09-01,2021-09,10,0.4638220974773024
2021-10-01,2021-10,3,0.3523495896664703
2021-11-01,2021-11,8,0.4280199117358699
2021-12-01,2021-12,4,0.4659954843047768
2022-01-01,2022-01,0,
2022-02-01,2022-02,0,
2022-03-01,2022-03,4,0.47806298454624846
2022-04-01,2022-04,3,0.48071360068219676
2022-05-01,2022-05,1,0.6268182254068589
2022-06-01,2022-06,2,0.5317119175489977
2022-07-01,2022-07,7,0.5538421769369628
2022-08-01,2022-08,5,0.531306629673829
2022-09-01,2022-09,5,0.5189129576154161
2022-10-01,2022-10,4,0.5129024476170455
2022-11-01,2022-11,2,0.3225165022156205
2022-12-01,2022-12,3,0.4774969426938401
2023-01-01,2023-01,1,0.6647585344484868
2023-02-01,2023-02,1,0.4336135913726618
2023-03-01,2023-03,6,0.5024596422611005
2023-04-01,2023-04,2,0.5058856434833258
2023-05-01,2023-05,3,0.4880540708282452
2023-06-01,2023-06,3,0.4283184716409497
2023-07-01,2023-07,5,0.5431064046122619
2023-08-01,2023-08,3,0.32975445903835676
2023-09-01,2023-09,4,0.48701539364830415
2023-10-01,2023-10,2,0.48697785227273876
2023-11-01,2023-11,4,0.3556299572780186
2023-12-01,2023-12,3,0.6188047628055212
2024-01-01,2024-01,4,0.4673963871750753
2024-02-01,2024-02,3,0.4970172739436293
2024-03-01,2024-03,5,0.46947835799747384
2024-04-01,2024-04,4,0.47790241495101043
2024-05-01,2024-05,0,
2024-06-01,2024-06,2,0.44123505781077055
2024-07-01,2024-07,7,0.5240460134335018
2024-08-01,2024-08,8,0.5121353262842401
2024-09-01,2024-09,7,0.44850998357240446
2024-10-01,2024-10,1,0.2092438490719166
2024-11-01,2024-11,2,0.3671403835714298
2024-12-01,2024-12,1,0.3883037082389672
2025-01-01,2025-01,2,0.471177066752191
2025-02-01,2025-02,2,0.4567346791371779
2025-03-01,2025-03,3,0.5172031988132592
2025-04-01,2025-04,6,0.5022801026612466
2025-05-01,2025-05,1,0.6976530810405471
2025-06-01,2025-06,4,0.5170777323135889
2025-07-01,2025-07,3,0.3274400875857133
2025-08-01,2025-08,8,0.508829608222195
2025-09-01,2025-09,6,0.4877642973274875
2025-10-01,2025-10,9,0.5069367698778581
2025-11-01,2025-11,1,0.6876151851540973
2025-12-01,2025-12,2,0.3875023799892977
2026-01-01,2026-01,7,0.4705746080878903
2026-02-01,2026-02,1,0.611828256909015
2026-03-01,2026-03,4,0.5041907430231918
