year,NDVI,MNDWI,NBR,image_count
2000,0.5249785220063556,-0.2621223336516154,0.4945813524816267,31
2001,0.5189612986353513,-0.22195195840284201,0.5167178316982909,33
2002,0.513520971881535,-0.20069087540404815,0.5188480172160699,31
2003,0.5193728347759871,-0.24511968812122942,0.5036317724564566,28
2004,0.517646473672452,-0.2195915504734326,0.5259584079699766,34
2005,0.49480039214142735,-0.20792454611261024,0.5042991312679485,27
2006,0.5016992613368393,-0.19507678406701598,0.5085892002556895,30
2007,0.49415015503569876,-0.175127885106054,0.5277092595437373,22
2008,0.5027723059911108,-0.209912731549775,0.5059214370679408,37
2009,0.514134933529266,-0.21441135125978714,0.5181605754962553,36
2010,0.5123699866723734,-0.20101840063598728,0.5237978359906325,25
2011,0.5215836315798059,-0.2040069041125024,0.5098332184701454,17
2012,0.5048322081032015,-0.23553791120395698,0.4848520104049006,14
2013,0.5453051501305988,-0.28392927066008455,0.45641517368755097,26
2014,0.5425374859246944,-0.27428824453097816,0.306379905114353,35
2015,0.5395775723132494,-0.26475270416695607,0.3912165806543627,38
2016,0.5498529395618588,-0.2942939951659377,0.40988162211254003,33
2017,0.5415837258183624,-0.2783233623427096,0.45839123961249245,34
2018,0.5506363032762238,-0.27041874200854316,0.3002917683078875,37
2019,0.5550728791258869,-0.28466644847720707,0.4317834084694575,35
2020,0.5704980621394395,-0.29736730759111785,0.42389280472924257,40
2021,0.5611395112324359,-0.2535433552370561,0.36835303377440975,43
2022,0.5897888824315474,-0.36254404590892975,0.2844825982244368,54
2023,0.5675358406727866,-0.3187909870640427,0.2493239954950898,59
2024,0.560316606122547,-0.3164806550008576,0.1325850690989444,38
2025,0.5418687448556961,-0.30328723716305966,0.13101506966722046,33
2026,0.5815912974536467,-0.33787554628658295,0.11372588734119553,12
