station_id,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,station_name,county,town,lat,lon
C0X190,2022-09-12 00:00:00,10.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,安平,臺南市,安平區,22.993161,120.152181
C0A560,2022-09-12 00:00:00,405.0,12.0,1.5,24.5,39.5,197.0,298.0,298.0,,,,,
C1F9E1,2022-09-12 00:00:00,563.0,0.0,0.0,0.0,1.5,5.0,5.0,5.0,龍安,臺中市,新社區,24.1605,120.831961
467480,2022-09-12 00:00:00,26.9,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,嘉義,嘉義市,西區,23.495925,120.432906
C0M730,2022-09-12 00:00:00,40.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,嘉義市東區,嘉義市,東區,23.457656,120.460517
C0A650,2022-09-12 00:00:00,287.0,4.0,2.5,10.5,18.5,48.0,88.5,88.5,,,,,
C0E860,2022-09-12 00:00:00,2616.0,0.5,0.0,1.0,16.5,26.0,30.5,30.5,,,,,
O1T840,2022-09-12 00:00:00,18.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,花蓮,花蓮縣,花蓮市,23.972934,121.605986
CAD080,2022-09-12 00:00:00,182.0,0.0,0.0,0.0,33.5,126.5,134.5,134.5,國三N085K,新竹縣,關西鎮,24.78333,121.1211
01U070,2022-09-12 00:00:00,585.0,6.0,0.0,17.0,45.0,80.0,100.0,100.0,留茂安,宜蘭縣,大同鄉,24.531772,121.451236
O1V550,2022-09-12 00:00:00,454.3,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,多納(1),高雄市,茂林區,22.910218,120.716048
01P660,2022-09-12 00:00:00,355.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,甲仙(2),高雄市,甲仙區,23.083884,120.58767
C0S750,2022-09-12 00:00:00,2280.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,向陽,臺東縣,海端鄉,23.248397,120.986133
C1V230,2022-09-12 00:00:00,731.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
CAL010,2022-09-12 00:00:00,46.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一N250K,嘉義縣,大林鎮,23.610292,120.436867
C0E550,2022-09-12 00:00:00,84.0,0.0,0.0,0.0,14.5,70.5,70.5,70.5,明德,苗栗縣,頭屋鄉,24.583486,120.885411
01A220,2022-09-12 00:00:00,33.0,0.0,0.0,0.0,5.0,48.0,62.0,62.0,三峽,新北市,三峽區,24.938878,121.355555
01H310,2022-09-12 00:00:00,2303.0,0.0,0.0,1.0,4.0,23.0,28.0,28.0,翠峰,南投縣,仁愛鄉,24.106999,121.199288
CAN080,2022-09-12 00:00:00,49.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三N336K,臺南市,官田區,23.154722,120.345
C1E770,2022-09-12 00:00:00,83.0,0.0,0.0,0.0,13.0,50.0,50.0,50.0,公館,苗栗縣,公館鄉,24.526914,120.830806
467440,2022-09-12 00:00:00,15.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
C0X060,2022-09-12 00:00:00,19.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
C0R510,2022-09-12 00:00:00,31.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
81C740,2022-09-12 00:00:00,379.0,0.0,0.0,1.5,20.0,113.5,182.0,182.0,,,,,
81M750,2022-09-12 00:00:00,1277.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
C1I131,2022-09-12 00:00:00,311.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
G2L020,2022-09-12 00:00:00,79.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,農試嘉義分所,嘉義市,東區,23.485028,120.473806
01D190,2022-09-12 00:00:00,770.0,1.0,0.0,4.0,18.0,96.0,135.0,135.0,鳥嘴山,新竹縣,尖石鄉,24.719164,121.28372
CAN090,2022-09-12 00:00:00,41.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三S342K,臺南市,善化區,23.106694,120.327528
CAG060,2022-09-12 00:00:00,48.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三S202K,彰化縣,彰化市,24.092468,120.603256
A1AD80,2022-09-12 00:00:00,278.0,0.5,0.0,0.5,5.0,45.5,77.5,77.5,貴子坑,臺北市,北投區,25.155898,121.489815
C0F9N0,2022-09-12 00:00:00,75.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,大里,臺中市,大里區,24.092464,120.701378
81I560,2022-09-12 00:00:00,613.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,豐丘,南投縣,信義鄉,23.667997,120.876961
C0M680,2022-09-12 00:00:00,37.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,太保,嘉義縣,太保市,23.455047,120.331439
82C160,2022-09-12 00:00:00,195.0,1.0,0.5,1.0,37.5,63.5,70.0,70.0,茶改場,桃園市,楊梅區,24.908472,121.185333
466880,2022-09-12 00:00:00,11.0,2.0,0.0,2.0,3.0,19.5,27.0,27.0,,,,,
C0UA80,2022-09-12 00:00:00,10.0,0.0,0.0,4.0,11.0,16.0,29.0,29.0,大溪漁港,宜蘭縣,頭城鎮,24.941803,121.902956
C0F9P0,2022-09-12 00:00:00,26.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,清水,臺中市,清水區,24.312297,120.562242
01V060,2022-09-12 00:00:00,850.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,梅山(2),高雄市,桃源區,23.265549,120.824866
A1AG30,2022-09-12 00:00:00,160.0,1.0,0.0,1.0,5.5,46.5,76.5,76.5,稻香里,臺北市,北投區,25.147998,121.483915
81I520,2022-09-12 00:00:00,527.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,九份二山,南投縣,國姓鄉,23.949895,120.854392
81HA60,2022-09-12 00:00:00,120.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,中興新村,南投縣,南投市,23.959722,120.686389
C0O970,2022-09-12 00:00:00,71.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,虎頭埤,臺南市,新化區,23.021375,120.347878
C0F0B0,2022-09-12 00:00:00,311.0,0.0,0.0,0.5,7.5,8.5,8.5,8.5,石岡,臺中市,石岡區,24.276061,120.777644
C0R700,2022-09-12 00:00:00,19.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,枋山,屏東縣,枋山鄉,22.246844,120.661086
C1V220,2022-09-12 00:00:00,1781.0,-998.0,-998.0,-998.0,-998.0,0.5,0.5,0.5,小關山,高雄市,桃源區,23.154217,120.813603
C0R780,2022-09-12 00:00:00,72.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,滿州,屏東縣,滿州鄉,22.024403,120.839892
A1AD70,2022-09-12 00:00:00,375.0,8.0,0.0,12.5,19.0,41.0,64.5,64.5,茶製場,臺北市,南港區,25.028388,121.663304
C1S820,2022-09-12 00:00:00,177.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,金峰,臺東縣,金峰鄉,22.590969,120.933236
C0C660,2022-09-12 00:00:00,176.0,0.0,0.0,0.5,4.5,13.5,18.0,18.0,楊梅,桃園市,楊梅區,24.912375,121.143047
C0M740,2022-09-12 00:00:00,15.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,六腳,嘉義縣,六腳鄉,23.492864,120.290611
C0K460,2022-09-12 00:00:00,60.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,斗南,雲林縣,斗南鎮,23.678725,120.478347
C0X100,2022-09-12 00:00:00,10.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,臺南市北區,臺南市,北區,23.010394,120.194228
01Q920,2022-09-12 00:00:00,750.0,-998.0,-998.0,-998.0,-998.0,1.0,1.0,1.0,新瑪家,屏東縣,瑪家鄉,22.675384,120.686784
C1I510,2022-09-12 00:00:00,1208.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,線浸林道,南投縣,鹿谷鄉,23.761508,120.832956
C0S690,2022-09-12 00:00:00,522.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,,,,,
C0A520,2022-09-12 00:00:00,48.0,1.0,0.0,1.0,4.0,26.0,36.0,36.0,山佳,新北市,樹林區,24.974944,121.402008
81D650,2022-09-12 00:00:00,268.0,0.5,0.0,1.5,5.0,61.5,74.0,74.0,內灣國小,新竹縣,橫山鄉,24.705412,121.183143
C0X130,2022-09-12 00:00:00,27.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,官田,臺南市,官田區,23.193217,120.315422
C0V400,2022-09-12 00:00:00,56.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,阿公店,高雄市,燕巢區,22.804194,120.355528
C1E890,2022-09-12 00:00:00,53.0,0.0,0.0,0.0,8.0,9.0,9.0,9.0,國三N149K,苗栗縣,通霄鎮,24.463414,120.680019
