station_id,station_name,county,town,lat,lon
CAC010,國一S072K,桃園市,楊梅區,24.89583,121.1342
C2K620,馬光農場,雲林縣,虎尾鎮,23.721453,120.378864
C2FB50,出雲,臺中市,和平區,24.206469,120.902794
C2FB60,頭櫃山,臺中市,新社區,24.129842,120.858925
C2H9D0,三隻寮,南投縣,國姓鄉,24.093078,120.861578
C2H9E0,國姓南港,南投縣,國姓鄉,23.911108,120.846556
C2H9F0,柑林,南投縣,國姓鄉,24.018658,120.847072
C2H9G0,百勝,南投縣,國姓鄉,24.051142,120.909361
C2M930,石卓,嘉義縣,竹崎鄉,23.478744,120.702264
C2M940,日野賀,嘉義縣,阿里山鄉,23.434056,120.727169
C2M950,太和,嘉義縣,梅山鄉,23.538372,120.702961
C2K630,荷苞,雲林縣,古坑鄉,23.657717,120.595144
C2H9H0,苗改南投蜂場,南投縣,名間鄉,23.852589,120.693481
C2G9A0,畜試所彰化,彰化縣,北斗鎮,23.86045,120.557964
C2E970,八甲,苗栗縣,苗栗市,24.535811,120.795983
C2H9J0,中台,南投縣,埔里鎮,23.9996,120.938739
C2H9L0,馬烈霸,南投縣,仁愛鄉,24.1512,121.201772
C2H9M0,發祥,南投縣,仁愛鄉,24.154094,121.164517
C2H9N0,仁愛東眼,南投縣,仁愛鄉,24.026875,121.1205
C2H9P0,伊拿谷,南投縣,仁愛鄉,23.963211,121.088264
C2H9Q0,北東眼山,南投縣,仁愛鄉,24.120939,121.189303
C2H9R0,卓社,南投縣,仁愛鄉,23.887894,121.000086
C2H9S0,龍南,南投縣,國姓鄉,23.953536,120.833183
C2R970,屏科大,屏東縣,內埔鄉,22.648275,120.619247
C2H9T0,名間竹圍,南投縣,名間鄉,23.859914,120.637572
C2H9U0,鳳鵬,南投縣,鹿谷鄉,23.763919,120.788061
C2M960,外寮,嘉義縣,梅山鄉,23.562643,120.665688
C2M970,碧湖,嘉義縣,梅山鄉,23.568632,120.624165
C2R170,屏東,屏東縣,屏東市,22.660269,120.494027
C2V310,美濃,高雄市,美濃區,22.898792,120.51907
C0V910,大樹,高雄市,大樹區,22.684645,120.432803
C0AK10,太平里,新北市,林口區,25.134937,121.364899
C0SB10,美和,臺東縣,太麻里鄉,22.682078,121.060236
C0SB20,富岡,臺東縣,臺東市,22.792467,121.192669
C0SB30,新蘭,臺東縣,東河鄉,22.869214,121.223228
C0SB40,興隆,臺東縣,東河鄉,22.913661,121.257469
C0SB50,叭嗡嗡,臺東縣,成功鎮,23.047062,121.343223
C0SB60,白守蓮,臺東縣,成功鎮,23.126769,121.401914
C0SB70,小港漁港,臺東縣,成功鎮,23.158558,121.400431
C0SB80,長濱漁港,臺東縣,長濱鄉,23.313644,121.459994
C0TA10,花蓮漁港,花蓮縣,花蓮市,23.995322,121.638331
C0TA20,加灣,花蓮縣,秀林鄉,24.082025,121.608944
C0FB70,大甲溪埔,臺中市,大甲區,24.370625,120.620067
C0G9B0,和美,彰化縣,和美鎮,24.105169,120.492131
C0R950,萬隆國小,屏東縣,新埤鄉,22.507667,120.587817
C0E570,白沙屯,苗栗縣,通霄鎮,24.549447,120.696803
C0R960,內埔,屏東縣,內埔鄉,22.608483,120.570714
C0TA30,鹽寮,花蓮縣,壽豐鄉,23.845606,121.592664
C0AK30,硬漢嶺,新北市,八里區,25.136097,121.426372
C0FA60,鞍馬山工作站,臺中市,和平區,24.267064,121.000793
C0FA70,大雪山埡口,臺中市,和平區,24.26867,121.03062
C0FA80,小雪山天池,臺中市,和平區,24.28025,121.02627
C0FA90,小雪山林道,臺中市,和平區,24.29515,121.03651
C0FB00,大雪山,臺中市,和平區,24.254668,121.007374
C0FB10,出雲山苗圃,臺中市,和平區,24.23105,120.90475
C0FB20,雪山橋,臺中市,和平區,24.23192,120.9786
C0FB30,八仙山苗圃,臺中市,和平區,24.192719,121.001366
C0FB40,中橫21.6k,臺中市,和平區,24.2499,121.1455
C0E940,雪見,苗栗縣,泰安鄉,24.42595,121.01347
C0E950,松安,苗栗縣,泰安鄉,24.39792,120.98599
C0E960,觀霧分站,苗栗縣,泰安鄉,24.505781,121.113921
C0D750,樂山林道6k,新竹縣,五峰鄉,24.49999,121.08773
C0D760,大坪苗圃,新竹縣,五峰鄉,24.5362,121.1108
C0C790,東眼山,桃園市,復興區,24.8284,121.40888
C0C800,四稜,桃園市,復興區,24.64733,121.4293
C0UB60,明池,宜蘭縣,大同鄉,24.650688,121.475277
C0UB70,太平山中間站,宜蘭縣,大同鄉,24.542003,121.513453
C0UB80,翠峰林道6K,宜蘭縣,大同鄉,24.49773,121.568625
